@relation 'unbalanced_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute '-0.271WBN_LP_H_1.00-0.265WBN_LP_H_0.75+0.262WBN_EN_L_1.00+0.25 WBN_GC_L_1.00+0.25 WBN_EN_L_0.75...' numeric
@attribute -0.351WBN_LP_L_0.25-0.317WBN_LP_L_0.50+0.278PSA-0.257WBN_LP_L_0.75-0.246BBB... numeric
@attribute 0.377WBN_GC_H_0.25+0.343WBN_GC_H_0.50+0.324NumHBA-0.303WBN_GC_L_0.25-0.276WBN_GC_L_0.50... numeric
@attribute -0.396WBN_EN_H_0.25-0.328WBN_GC_H_0.50-0.327WBN_EN_H_0.50-0.325WBN_GC_H_0.25+0.306NumRot... numeric
@attribute -0.41WBN_LP_H_0.25-0.349WBN_GC_L_0.75-0.347WBN_GC_L_0.50-0.313WBN_GC_L_0.25-0.252WBN_LP_H_0.50... numeric
@attribute 0.398XLogP+0.352BadGroup-0.309NumHBD+0.284WBN_LP_H_0.25+0.271WBN_EN_H_0.25... numeric
@attribute 0.594BadGroup-0.451NumRot-0.263WBN_EN_H_0.25-0.246XLogP-0.24NumHBD... numeric
@attribute 0.389NumHBD-0.362WBN_EN_L_0.25+0.359WBN_EN_H_0.25-0.271WBN_EN_L_0.50-0.213PSA... numeric
@attribute -0.446XLogP+0.412WBN_LP_H_0.25-0.363MW-0.249WBN_GC_L_0.50-0.234WBN_GC_L_0.25... numeric
@attribute '0.629NumHBD-0.406NumHBA+0.348BadGroup+0.3  XLogP-0.247WBN_GC_L_0.75...' numeric
@attribute '-0.706BBB-0.406NumRot+0.25 WBN_EN_H_0.25-0.172NumHBD-0.167NumHBA...' numeric
@attribute '0.49 NumRot+0.43 BadGroup-0.403XLogP+0.306WBN_LP_L_0.25+0.207WBN_EN_H_0.25...' numeric
@attribute Outcome {Active,Inactive}

@data
-1.044062,-2.954048,-0.711624,0.621774,0.92467,-0.833551,-0.430699,0.482579,-0.407998,0.106563,-0.79864,-0.345559,Active
-5.408424,-3.005742,-0.103095,-2.99914,2.24288,-0.228259,-0.663007,1.261275,0.231189,0.754374,0.225749,0.036403,Active
2.83196,-0.514868,0.203963,-1.777233,-1.886047,-2.099667,1.245928,-0.682429,-0.624819,-0.897036,0.598269,0.679512,Active
2.360854,-0.413664,0.24654,-0.51639,-3.814327,-2.286929,-1.591792,-0.56441,-0.557798,0.714852,0.264886,-0.634575,Active
2.278692,-1.761586,1.323604,0.404522,-1.453726,-1.281519,-1.183442,-0.772813,0.798683,0.439456,0.639282,-0.500602,Active
-3.834064,2.183294,2.856951,-2.034763,0.506155,0.202259,-1.09642,0.117129,0.506289,0.104709,0.179304,-1.128175,Active
4.59995,-0.493506,1.76182,-0.071403,-0.497297,0.141308,-2.029492,-1.999276,-0.047599,0.995022,0.238333,-1.244847,Active
-0.723802,-1.49977,0.024346,-0.480038,-0.000608,0.869166,0.216779,-1.215028,0.513038,1.159107,1.452816,-0.325544,Active
1.208368,-2.223694,-1.198424,-3.113171,-4.175981,-0.235734,0.457566,0.249165,-0.330602,-0.106425,-1.323987,-0.588777,Active
-3.384671,-2.490224,0.75092,0.258897,0.907666,-1.257097,-0.575333,-0.727079,-0.045807,1.125209,0.219957,0.254256,Active
4.460594,-1.386131,-2.8124,0.508951,-1.635588,0.956229,1.864188,0.389688,-1.68819,-0.723025,-0.217868,0.841967,Active
-0.640252,-2.887714,-0.759809,0.532907,1.239633,-1.06496,-0.292668,0.585361,-0.150073,0.104638,-0.828768,-0.08991,Active
-2.741914,3.551664,0.762537,-0.577471,-0.68949,0.48712,0.197577,-1.439825,-0.904159,-1.97563,-0.535501,-1.134102,Inactive
-2.71031,3.433996,0.068569,-1.094325,-0.829802,0.355152,0.116778,-1.544175,-1.347454,-1.63622,-0.592289,-0.997659,Inactive
-0.424102,3.789972,0.414843,2.220812,0.739411,0.546772,-1.069363,1.085291,0.939208,-0.035793,-0.542665,-0.043104,Inactive
0.129921,3.914161,-1.929796,0.962276,-0.403007,0.040937,-0.77368,1.105504,0.225115,0.161535,-0.364948,0.332424,Inactive
-0.391895,4.156526,1.622024,0.665794,-0.205077,-0.60661,-0.825891,1.13195,0.781047,0.183232,-0.863541,-0.873927,Inactive
-0.628805,3.294436,1.30507,0.700673,0.91122,0.169492,-0.497733,0.831551,0.675822,0.008739,-0.470651,-0.987915,Inactive
-0.850094,3.558478,-1.882398,1.300663,-0.859272,-0.503745,-0.360231,1.611692,0.219967,-0.34838,0.045954,0.173761,Inactive
-0.042897,4.188564,-1.705185,-0.358484,-0.01859,0.272436,-1.009808,1.868978,0.668742,-0.174698,0.222607,0.901545,Inactive
2.495531,-2.249911,0.386024,0.208029,-0.962523,0.867259,-0.764344,0.391428,-1.482662,1.013269,-1.519392,-1.308862,Inactive
0.240586,-0.468262,-0.448865,1.645886,0.100806,1.122396,-0.964448,-1.695367,0.470054,-0.410592,0.864922,-0.079705,Inactive
-0.571418,0.055454,3.683513,-1.179395,0.959712,-0.943003,0.17681,-0.469042,0.07395,-1.357082,-0.434353,-1.543871,Inactive
-0.75605,1.404369,4.681028,-3.349056,1.611654,0.180664,0.4693,0.550156,0.442505,-1.262688,-0.207802,0.092677,Inactive
-0.808571,1.686066,4.613771,-2.886286,1.719791,0.000583,0.430228,0.844054,0.340995,-1.538577,-0.284003,0.493417,Inactive
0.920866,-0.885798,2.286216,-2.042471,0.34564,0.252559,2.191873,0.018351,-0.594569,-0.187354,-2.497909,-0.3678,Inactive
-1.859479,0.384277,5.701536,-5.144112,2.022403,-0.176284,0.717719,-0.402499,-0.368529,-0.893374,-0.534469,-0.76321,Inactive
-1.834024,0.389907,5.588406,-5.301203,2.12907,-0.398806,0.991734,-0.301567,-0.222433,-0.949499,-0.427513,-0.775397,Inactive
0.582667,-1.120768,2.242739,-1.919649,1.301161,0.067178,2.788848,0.246144,-0.388535,0.010473,-1.846444,-0.771104,Inactive
0.820108,0.093511,0.934484,-5.807863,-0.386085,-0.73238,1.399224,0.826368,-0.405068,-1.578532,-1.231446,-0.377643,Inactive
1.20808,0.53728,0.90321,-5.295294,-0.334182,-0.936692,1.606839,0.851347,-0.646381,-1.116166,0.441431,-0.192049,Inactive
1.136121,-0.319947,2.422339,-1.982548,2.072574,-1.177786,2.38094,-0.037923,0.220609,-0.123186,-0.276845,-0.975099,Inactive
