@relation 'brest-cancer-wisconsin-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.NominalToBinary-N_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M8'

@attribute '0.381Uniformity of Cell Size+0.377Uniformity of Cell Shape+0.346Bland Chromatin+0.336Single Epithelial Cell Size+0.336Normal Nucleoli...' numeric
@attribute '0.993Sample code number-0.072Bare Nuclei+0.047Mitoses+0.044Uniformity of Cell Size+0.041Single Epithelial Cell Size...' numeric
@attribute '-0.907Mitoses+0.248Bare Nuclei+0.23 Bland Chromatin-0.163Single Epithelial Cell Size+0.142Clump Thickness...' numeric
@attribute '0.863Clump Thickness-0.425Marginal Adhesion-0.195Bland Chromatin-0.125Normal Nucleoli-0.106Single Epithelial Cell Size...' numeric
@attribute '-0.526Bare Nuclei-0.469Marginal Adhesion+0.454Normal Nucleoli+0.393Single Epithelial Cell Size-0.245Mitoses...' numeric
@attribute '0.673Single Epithelial Cell Size-0.647Normal Nucleoli-0.251Bland Chromatin+0.137Uniformity of Cell Size-0.128Mitoses...' numeric
@attribute '0.683Marginal Adhesion-0.587Bare Nuclei-0.287Bland Chromatin+0.276Clump Thickness-0.15Mitoses...' numeric
@attribute '0.695Bland Chromatin-0.485Normal Nucleoli-0.421Bare Nuclei+0.199Uniformity of Cell Size-0.167Single Epithelial Cell Size...' numeric
@attribute Class {2,4}

@data
0.104822,0.073707,0.705673,0.643703,0.494794,0.362488,0.427689,0.490424,2
0.412737,0.073243,0.771152,0.468525,0.391434,0.768795,0.316307,0.211467,2
0.091851,0.074117,0.701185,0.520618,0.481572,0.380131,0.34496,0.466555,2
0.416465,0.084114,0.774876,0.655465,0.749888,0.289395,0.371579,0.361292,2
0.117948,0.074637,0.70283,0.522855,0.442301,0.364858,0.515035,0.477398,2
0.790148,0.082569,0.919469,0.435145,0.538463,0.483374,0.417508,0.499721,4
0.147217,0.067142,0.767409,0.393942,0.285962,0.450735,0,0.28005,2
0.08414,0.075984,0.68807,0.462393,0.524072,0.385385,0.360204,0.497318,2
0.097162,0.081646,0.344747,0.533153,0.413785,0.356959,0.333263,0.431673,2
0.09152,0.07698,0.687411,0.597448,0.513046,0.400279,0.438161,0.446116,2
0.043365,0.075853,0.687318,0.408136,0.488746,0.315142,0.339599,0.504145,2
0.055719,0.076731,0.670077,0.475871,0.514736,0.400468,0.386818,0.432668,2
0.251373,0.078158,0.755361,0.54556,0.504383,0.246332,0.443584,0.434279,4
0.078804,0.075505,0.6969,0.397535,0.468061,0.397735,0.262095,0.442558,2
0.657787,0.083322,0.597659,0.477811,0.29562,0.540267,0.595581,0.310474,4
0.372373,0.085571,0.725752,0.615937,0.655151,0.569939,0.617628,0.482749,4
0.078283,0.077472,0.685124,0.598446,0.501252,0.390302,0.431775,0.433018,2
0.09322,0.077497,0.699012,0.582422,0.500308,0.367404,0.404627,0.48971,2
0.530393,0.078272,0.801483,0.781075,0.243901,0.600081,0.464875,0.415258,4
0.11585,0.077377,0.71388,0.704996,0.487077,0.357273,0.449704,0.490171,2
0.519888,0.076659,0.599931,0.439717,0.110535,0.401865,0.516032,0.273356,4
0.578218,0.082939,0.83892,0.717389,0.692764,0.205918,0.318626,0.304349,4
0.066919,0.078168,0.677821,0.53716,0.507679,0.395342,0.409147,0.432704,2
0.339156,0.080289,0.833081,0.752947,0.530613,0.241616,0.307656,0.665002,4
0.059211,0.0785,0.67688,0.398562,0.51991,0.382568,0.336895,0.488911,2
0.29759,0.076173,0.779845,0.514324,0.412713,0.194149,0.366182,0.201899,4
0.064027,0.0787,0.691308,0.545742,0.487225,0.337746,0.417722,0.460561,2
0.089495,0.078738,0.692833,0.659735,0.494245,0.385183,0.454128,0.433076,2
0.05554,0.079053,0.670558,0.475875,0.514051,0.400375,0.386492,0.432367,2
0.056012,0.080707,0.658102,0.43571,0.541235,0.44384,0.391728,0.390949,2
0.050853,0.078374,0.688851,0.546739,0.475672,0.327802,0.411451,0.447569,2
0.070459,0.079313,0.684495,0.45985,0.513037,0.377467,0.359311,0.489028,2
0.602312,0.09068,0.661943,0.772279,0.640239,0.609896,0.370793,0.579508,4
