@relation 'crx-weka.filters.supervised.attribute.NominalToBinary-N_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M8'

@attribute 0.456A5=g+0.456A4=u-0.453A5=p-0.453A4=y-0.181A10... numeric
@attribute 0.469A4=l+0.469A5=gg+0.362A7=o+0.338A15-0.276A13=g... numeric
@attribute '0.32 A7=v-0.275A3-0.263A11-0.256A8+0.246A10...' numeric
@attribute -0.525A7=ff-0.506A6=ff-0.244A9+0.216A7=v+0.195A8... numeric
@attribute 0.372A13=s-0.338A13=g+0.334A7=bb+0.291A2-0.28A7=v... numeric
@attribute '0.457A7=j+0.44 A6=j-0.315A7=v+0.28 A6=i+0.258A7=h...' numeric
@attribute -0.433A7=j-0.431A6=j-0.384A6=e-0.323A7=z-0.225A7=dd... numeric
@attribute -0.362A6=e+0.346A13=s-0.33A7=dd-0.32A13=g-0.256A6=i... numeric
@attribute A16 {+,-}

@data
0.710945,0.070255,0.82157,0.494972,0.455114,0.213598,0.688711,0.620558,+
0.843316,0.054083,0.65793,0.436265,0.523107,0.34875,0.725594,0.721387,+
0.718869,0.073045,0.766657,0.421953,0.47435,0.410575,0.764406,0.619702,+
0.743352,0.065804,0.792054,0.543057,0.472418,0.218013,0.694303,0.653598,+
0.637957,0.120971,0.934104,0.500019,0.664159,0.195889,0.608211,0.80457,+
0.677162,0.086693,0.854475,0.523822,0.584955,0.243997,0.695287,0.693444,+
0.707742,0.126891,0.638532,0.606793,0.560493,0.473607,0.918417,0.364643,+
0.696691,0.082921,0.783197,0.452478,0.435682,0.27549,0.672224,0.616623,+
0.170962,0.047534,0.690273,0.528501,0.634826,0.315136,0.761124,0.670009,+
0.18624,0.053765,0.744833,0.588076,0.533536,0.201103,0.677874,0.645702,+
0.62917,0.078997,0.80879,0.449685,0.550806,0.374811,0.790249,0.556066,+
0.68619,0.071384,0.768815,0.477475,0.568772,0.357236,0.775098,0.605487,+
0.675119,0.075882,0.809261,0.437542,0.496687,0.260908,0.666876,0.612689,+
0.626265,0.087015,0.832586,0.39767,0.528085,0.212192,0.667151,0.55751,+
0.848291,0.057569,0.700657,0.49788,0.467078,0.253546,0.655882,0.720512,+
0.215477,0.044129,0.720054,0.618085,0.515485,0.226339,0.708509,0.704693,+
0.713506,0.079424,0.838972,0.545986,0.544072,0.242473,0.705886,0.727113,+
0.811237,0.060692,0.741724,0.483086,0.397956,0.265081,0.662045,0.692595,+
0.66002,0.076342,0.804097,0.46189,0.578766,0.367163,0.772875,0.603742,+
0.772081,0.063694,0.686386,0.478578,0.464821,0.370137,0.754448,0.691493,+
0.794919,0.060052,0.728974,0.553695,0.466771,0.211477,0.669596,0.683944,+
0.615512,0.123403,0.949806,0.499299,0.682613,0.244873,0.641435,0.79777,+
0.809562,0.060589,0.708013,0.521279,0.515987,0.235595,0.657312,0.704879,+
0.787229,0.057154,0.665985,0.474616,0.516308,0.375729,0.758563,0.689248,+
0.794857,0.065056,0.755116,0.473625,0.43588,0.281996,0.679348,0.675926,+
0.721658,0.063114,0.749771,0.451111,0.464108,0.373033,0.751552,0.631389,+
0.835647,0.064891,0.659657,0.447774,0.731651,0.436971,0.800937,0.547543,+
0.914727,0.05303,0.591579,0.569771,0.79333,0.288936,0.729693,0.730099,+
0.823516,0.052721,0.611697,0.484019,0.737747,0.223786,0.545544,0.509918,+
