@relation 'labor-neg-data-weka.filters.supervised.attribute.NominalToBinary-N_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M8'

@attribute -0.35contribution-to-health-plan=none-0.338longterm-disability-assistance+0.283contribution-to-health-plan=full-0.268pension=none-0.263bereavement-assistance... numeric
@attribute '0.354wage-increase-second-year+0.33 bereavement-assistance-0.292duration+0.268contribution-to-dental-plan=none-0.265contribution-to-dental-plan=half...' numeric
@attribute '0.459cost-of-living-adjustment=none-0.398cost-of-living-adjustment=tcf+0.31 working-hours-0.257vacation=generous+0.252wage-increase-first-year...' numeric
@attribute -0.503contribution-to-health-plan=half+0.369contribution-to-health-plan=full-0.352contribution-to-dental-plan=half-0.323wage-increase-second-year+0.241pension=none... numeric
@attribute -0.374vacation=below_average-0.35standby-pay-0.344shift-differential+0.343pension=empl_contr+0.273education-allowance... numeric
@attribute -0.425pension=ret_allw+0.411vacation=average+0.358contribution-to-health-plan=half-0.271vacation=below_average-0.242contribution-to-dental-plan=full... numeric
@attribute '-0.493shift-differential+0.398education-allowance-0.334pension=empl_contr+0.3  pension=none+0.282statutory-holidays...' numeric
@attribute 0.572vacation=generous-0.449vacation=average+0.321pension=empl_contr-0.319pension=ret_allw+0.214education-allowance... numeric
@attribute class {bad,good}

@data
0.688842,0.595845,0.876269,0.714307,0.778233,0.587206,0.857112,0.42669,good
0.745882,0.688936,0.724295,0.566437,0.560006,0.026931,0.494512,0.087872,good
0.678059,0.489346,0.691808,0.217099,0.799454,0.84303,0.533239,1,good
0.696442,0.412475,0.240531,0.533922,0.69298,0.480951,0.59395,0.174517,good
0.700611,0.559648,0.829858,0.146401,0.741613,1,0.762286,0.240564,good
0.706324,0.494559,0.495286,0.961294,0.630933,0.757238,0.570596,0.233486,good
0.641236,0.572091,0.142427,0.115456,0.897862,0.757054,0.677951,0.785201,good
0.73769,0.440024,1,0.547731,0.546577,0.340258,0.964148,0.617278,good
0.86381,0.590486,0.79462,0.502187,0,0.530409,0,0.312538,good
0.81279,0.647519,0.813491,0.656228,0.894281,0.398037,0.716179,0.9621,good
0.852358,0.531124,0.430317,0.634169,0.720539,0.549629,0.861933,0.739998,good
0.950061,0.748239,0.767623,0.49867,0.682352,0.338487,0.998214,0.379527,good
0.425446,0.468452,0.948811,0.103438,0.549017,0.694931,0.809367,0.666733,bad
0.932648,0.498771,0.115941,0.473489,0.741288,0.446025,0.994961,0.450489,good
0.77324,0.572342,0.565671,0.731322,0.617949,0.443522,0.567624,0.852974,good
0.803555,0.581483,0.854847,0.792231,0.881788,0.630925,0.688553,0.436996,good
0.679513,0.490506,0.663086,0.690373,0.573738,0.383023,0.803122,0.62368,good
0.155565,0.367811,0.597925,0.222372,0.924561,0,0.37364,0.237523,bad
0.09175,0.958628,0.368897,0.9358,0.480199,0.811707,0.735152,0.371998,bad
1,0.556451,0.017427,0.526068,0.488793,0.504534,0.998135,0.632797,good
0.849883,0.621292,0.683411,0.643272,0.762314,0.366794,0.847429,0.724548,good
0.558909,0.352227,0.805434,0.789576,0.505724,0.499336,0.886291,0.56831,bad
0.886047,0.385411,0,0.584239,0.542649,0.503196,0.815025,0.360978,good
0.709955,0.463556,0.786333,0.495534,0.700523,0.497749,0.671215,0.85106,good
0.738879,0.600449,0.773996,0.618945,0.709219,0.375828,0.752569,0.952859,good
0.460228,0.095384,0.976533,0.805936,0.470278,0.545626,0.7938,0.634778,bad
0.547016,0.543755,0.290598,0.162207,0.391558,0.667284,0.737046,0.412957,good
0.787055,0.534798,0.321073,0.833296,0.596329,0.536394,0.578388,0.721474,good
0.772678,0.533983,0.897751,0.619545,0.605271,0.304214,0.828973,0.492119,good
0.621358,0.34669,0.672485,0.985019,0.646097,0.769175,0.829801,0.341873,bad
0.753124,0.495446,0.84366,0.494427,0.720712,0.756305,0.720693,0.246071,good
0.417238,0.008562,0.686567,0.630937,0.593039,0.399177,0.786442,0.432922,bad
0.661389,0.41651,0.749442,0.894558,0.85804,0.793372,0.593768,0.56388,bad
0.228645,0.69222,0.785432,0.526238,0.415663,0.511671,0.974927,0.775677,bad
0.190316,0,0.676745,0.580396,0.702603,0.300762,0.909101,0.483152,bad
0.487977,0.463351,0.661556,1,0.666002,0.821248,0.923789,0.428258,bad
0,0.844917,0.018087,0.468712,1,0.115463,0.723168,0.543647,bad
0.319804,0.440081,0.883351,0.425853,0.802637,0.47534,0.395276,0.858723,bad
0.459704,0.389338,0.786613,0.888958,0.829598,0.826839,0.555796,0.686864,bad
0.713173,0.660118,0.920014,0.383212,0.829173,0.796818,0.900348,0.264024,good
0.127807,1,0.437105,0.882394,0.482971,0.778022,0.787003,0.383115,bad
0.654414,0.571623,0.296801,0.865374,0.703177,0.713272,0.498151,0.941954,bad
0.61993,0.310111,0.404856,0.762921,0.984729,0.667092,0.646387,0.338574,bad
0.579263,0.244873,0.411938,0.644944,0.463228,0.461526,1,0.412331,bad
0.211502,0.653932,0.774786,0.576031,0.439132,0.540856,0.990749,0.788235,bad
0.443645,0.48916,0.98245,0.076913,0.550267,0.678013,0.83515,0.672333,bad
0.771108,0.597589,0.935715,0.733692,0.795149,0.55526,0.835393,0.263472,good
0.678918,0.421387,0.442466,0,0.596435,0.718378,0.806579,0.409838,good
0.818028,0.543765,0.837019,0.610055,0.386608,0.478778,0.822848,0.62533,good
0.748378,0.695702,0.956921,0.627855,0.886752,0.260591,0.743176,0,good
0.862916,0.672255,0.926303,0.537499,0.687298,0.326924,0.864567,0.474011,good
0.695755,0.227639,0.190038,0.566904,0.624888,0.740025,0.492978,0.406379,good
0.888987,0.42375,0.022496,0.508263,0.644825,0.508352,0.925092,0.5797,good
0.790124,0.503419,0.89354,0.790225,0.895677,0.711811,0.703136,0.386199,good
0.870744,0.525267,0.640197,0.644927,0.716423,0.608778,0.653121,0.978914,good
0.718281,0.589146,0.852,0.108241,0.730503,0.976948,0.767267,0.237085,good
0.952112,0.658714,0.798486,0.548792,0.565331,0.321527,0.524318,0.67604,good
