@relation 'pima-indians-diabetes-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.NominalToBinary-N_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M8'

@attribute '0.452Body mass index+0.44 Triceps skin fold thickness+0.4352-Hour serum insulin+0.393Plasma glucose concentration+0.36 Diastolic blood pressure...' numeric
@attribute '0.621Age+0.594Number of times pregnant-0.332Triceps skin fold thickness-0.2512-Hour serum insulin+0.184Diastolic blood pressure...' numeric
@attribute '-0.535Diastolic blood pressure+0.468Plasma glucose concentration+0.433Diabetes pedigree function-0.362Body mass index+0.3372-Hour serum insulin...' numeric
@attribute '-0.834Diabetes pedigree function+0.404Plasma glucose concentration+0.35 2-Hour serum insulin-0.081Number of times pregnant-0.071Age...' numeric
@attribute '-0.488Triceps skin fold thickness-0.476Number of times pregnant+0.466Plasma glucose concentration-0.3472-Hour serum insulin+0.328Diastolic blood pressure...' numeric
@attribute '-0.685Body mass index+0.634Diastolic blood pressure+0.2712-Hour serum insulin-0.194Number of times pregnant-0.094Plasma glucose concentration...' numeric
@attribute '-0.712Age+0.589Number of times pregnant-0.282Triceps skin fold thickness+0.192Diastolic blood pressure+0.1322-Hour serum insulin...' numeric
@attribute '-0.566Triceps skin fold thickness+0.5492-Hour serum insulin-0.45Plasma glucose concentration+0.342Body mass index+0.212Age...' numeric
@attribute 'Class (1=Positive for diabetes)' {0,1}

@data
0.570844,0.611519,0.396028,0.513569,0.46891,0.542285,0.486598,0.387485,1
0.369084,0.296763,0.295485,0.540567,0.415005,0.639566,0.506444,0.481242,0
0.43589,0.669231,0.602959,0.585848,0.664928,0.592893,0.878858,0.373238,1
0.369628,0.210848,0.301602,0.650655,0.421455,0.640354,0.659752,0.554553,0
0.689756,0.064788,0.752422,0.063103,0.604415,0.450401,0.546937,0.583085,1
0.340152,0.547677,0.356717,0.633931,0.575737,0.640033,0.773116,0.540632,0
0.386726,0.236956,0.317407,0.595308,0.248738,0.532859,0.608085,0.546268,1
0.274373,0.550927,0.540058,0.658189,0.252021,0.184614,0.816813,0.570369,0
0.776219,0.375374,0.616655,0.963458,0.277455,0.726614,0.389251,0.627523,1
0.302926,0.926757,0.466234,0.624909,0.391759,1,0.616938,0.405215,1
0.423355,0.517625,0.214204,0.613474,0.71861,0.591466,0.781675,0.638907,0
0.513678,0.722478,0.435994,0.580882,0.679026,0.458988,0.943296,0.496783,1
0.537264,0.869563,0.590098,0.233671,0.571306,0.653903,0.708844,0.55372,0
0.821282,0.330102,0.833957,1,0.206802,0.802111,0.417445,1,1
0.565285,0.618124,0.561345,0.637055,0.486647,0.681967,0.532782,0.517848,1
0.249835,0.468845,0.603764,0.533188,0.277712,0.283601,0.686694,0.592964,1
0.67612,0.133549,0.26724,0.592943,0.487078,0.570976,0.535539,0.613365,1
0.363658,0.593348,0.325947,0.592077,0.522627,0.58654,0.832371,0.578368,1
0.458216,0.191438,0.34455,0.65011,0.334817,0.316691,0.413293,0.565407,0
0.503112,0.273779,0.353436,0.559506,0.511055,0.591248,0.547418,0.53726,1
0.660039,0.219934,0.33833,0.558614,0.451032,0.640306,0.719648,0.563707,0
0.445477,0.770393,0.28029,0.509767,0.516791,0.570999,0.670301,0.681264,0
0.576203,0.747081,0.414664,0.649897,0.884458,0.517023,0.796802,0.484932,1
0.477928,0.536593,0.264613,0.59166,0.315486,0.595986,0.819331,0.345416,1
0.655505,0.761674,0.288582,0.655518,0.308341,0.598096,0.709263,0.510504,1
0.513594,0.64516,0.356064,0.656732,0.246195,0.558913,0.750159,0.503844,1
0.483054,0.712272,0.34597,0.637098,0.68117,0.475698,0.717891,0.590214,1
0.374121,0.228053,0.428515,0.584624,0.45463,0.716969,0.700703,0.58542,0
0.528663,0.941384,0.430931,0.658121,0.223166,0.684336,0.711279,0.465793,0
0.439717,0.618015,0.276554,0.571738,0.685225,0.628016,0.728165,0.618095,0
0.527507,0.668168,0.312958,0.471558,0.440592,0.551817,0.354922,0.567148,0
0.638436,0.258277,0.519435,0.578769,0.486305,0.6721,0.716549,0.481322,1
0.309032,0.317385,0.369943,0.604062,0.416799,0.621844,0.734925,0.562509,0
0.313125,0.577888,0.279439,0.59621,0.507159,0.778924,0.851236,0.545226,0
0.50743,0.70094,0.345105,0.504395,0.293765,0.609009,0.686836,0.390371,0
0.50238,0.293697,0.526257,0.439197,0.252408,0.692793,0.638087,0.53401,0
0.454002,0.752758,0.383189,0.569649,0.534188,0.52098,0.948303,0.526426,0
0.534147,0.620885,0.300364,0.419681,0.264492,0.561702,0.621401,0.443918,1
0.481262,0.222578,0.228442,0.485164,0.421328,0.512727,0.566486,0.461355,1
0.709664,0.409414,0.491503,0.284117,0.292349,0.620454,0.380536,0.603716,1
0.519854,0.369123,0.447951,0.739752,0.653557,0.515692,0.696567,0.374508,0
0.508869,0.634073,0.355004,0.474709,0.714274,0.517825,0.822082,0.611317,0
0.42763,0.718682,0.278659,0.577325,0.397863,0.742714,0.596897,0.486412,0
0.803792,0.731003,0.364392,0.580241,0.574185,0.616867,0.730349,0.646474,1
0.410801,0.701558,0.481243,0.661723,0.609303,0.554204,0.725872,0.476906,0
0.686803,0.144916,0.60844,0.190413,0.864404,0.488504,0.63524,0.320771,1
0.376678,0.395439,0.510029,0.581925,0.762801,0.549065,0.646706,0.52179,0
0.369627,0.232803,0.28252,0.444434,0.41446,0.643344,0.669509,0.502436,0
0.483712,0.446405,0.247294,0.541761,0.361517,0.449855,0.717835,0.476918,1
0.071087,0.47767,0.748655,0.630856,0.10772,0.605417,0.747708,0.363235,0
0.354797,0.295613,0.39994,0.569911,0.551321,0.798381,0.727738,0.528688,0
0.329463,0.272844,0.456877,0.540252,0.475737,0.609148,0.603541,0.518169,0
0.360354,0.427364,0.332498,0.55009,0.335882,0.640362,0.6861,0.496042,0
0.743212,0.695295,0.474744,0.707449,0.358827,0.678711,0.567883,0.562105,1
0.703378,0.414813,0.533298,0.622241,0.21521,0.598933,0.662163,0.571901,0
0.237465,0.254274,0.359753,0.576765,0.429483,0.611581,0.646401,0.556237,0
0.707258,0.486049,0.49214,0.814346,0.353674,0.533318,0.672396,0.497157,1
0.69009,0.096178,0.214137,0.379364,0.477362,0.559999,0.486699,0.50393,0
0.589717,0.439542,0.569235,0.1641,1,0.590888,0.556907,0.645593,0
0.516078,0.09755,0.247452,0.679036,0.434743,0.498356,0.576476,0.554032,0
0.024989,0.293158,0.710293,0.614902,0.190111,0.64881,0.604929,0.426272,0
0.424267,0.700974,0.369804,0.617506,0.569249,0.527945,0.781323,0.560963,1
0.273185,0.495873,0.337917,0.394371,0.346314,0.638506,0.67161,0.706876,0
0.488587,0.223205,0.519593,0.573591,0.444758,0.637997,0.656236,0.395626,0
0.392159,0.673356,0.357355,0.593763,0.516556,0.519141,0.692501,0.613685,1
0.410728,0.452787,0.258241,0.593199,0.386172,0.607453,0.653131,0.459584,0
0.513016,0.336882,0.315948,0.401718,0.634999,0.683471,0.468332,0.491587,1
0.528634,0.613989,0.30969,0.385254,0.804472,0.580235,0.467213,0.752865,0
0.305394,0.310198,0.389571,0.592406,0.481692,0.723266,0.637728,0.510956,0
0.504792,0.406247,0.337084,0.715105,0.530934,0.671856,0.738214,0.423385,0
0.465521,0.268002,0.417252,0.43061,0.511246,0.60037,0.664335,0.592211,1
0.512195,0.334954,0.432852,0.651394,0.36031,0.6011,0.733201,0.413149,0
0.548466,0.848563,0.286051,0.472507,0.553747,0.464175,0.973689,0.629178,1
0.558318,0.30814,0.345701,0.739498,0.477438,0.665079,0.850875,0.649642,0
0.398208,0.212194,0.221067,0.515101,0.474388,0.617715,0.63155,0.500505,0
0.179124,0.1657,0.188745,0.489183,0.159675,0.607826,0.565414,0.671382,0
0.361206,0.630443,0.243377,0.463799,0.41927,0.595033,0.715033,0.722031,0
0.468798,0.356412,0.220235,0.528416,0.407502,0.507422,0.702229,0.479738,0
0.304698,0.233416,0.548643,0.66635,0.633254,0.167706,0.531014,0.633302,1
0.362773,0.318546,0.353531,0.604066,0.504638,0.636388,0.653674,0.426293,0
0.277412,0.342418,0.433346,0.670832,0.437219,0.560067,0.68948,0.44215,0
0,0.304798,0.660036,0.662801,0.146077,0.646259,0.579205,0.449545,0
0.4789,0.479841,0.335229,0.403365,0.298442,0.653592,0.724108,0.554947,0
0.346327,0.21915,0.316104,0.61533,0.485697,0.651931,0.578534,0.419673,0
0.557656,0.627676,0.155299,0.621383,0.879047,0.520421,0.785594,0.670087,1
0.508705,0.249264,0.378542,0.510008,0.479003,0.639421,0.663064,0.541839,0
0.570416,0.687141,0.186859,0.564,0.044138,0.455444,0.683177,0.34226,0
0.460651,0.264658,0.272334,0.591851,0.499716,0.521938,0.647705,0.581055,0
0.588031,0.78512,0.319619,0.665377,0.138433,0.448708,0.881818,0.462691,1
0.346633,0.304325,0.311935,0.643477,0.541434,0.632862,0.626088,0.467824,0
0.2087,0.308661,0.397712,0.589415,0.501076,0.674158,0.690263,0.569948,0
0.512469,0.429886,0.391458,0.623371,0.500904,0.659842,0.711387,0.631486,0
0.567371,0.484329,0.12044,0.529564,0.285318,0.439003,0.588605,0.595917,0
0.396385,0.784593,0.443359,0.62077,0.587445,0.665553,0.389625,0.577568,1
0.464246,0.308554,0.45691,0.529472,0.663014,0.728649,0.781975,0.422929,0
0.583371,0.492185,0.416263,0.724576,0.366247,0.593448,0.663239,0.576528,0
0.370047,0.271987,0.253307,0.622527,0.428412,0.547739,0.61468,0.478925,0
0.272007,0.205749,0.403624,0.578696,0.313279,0.657775,0.620879,0.558061,0
0.392153,0.322626,0.366553,0.571318,0.233651,0.52619,0.75631,0.469047,0
0.704733,0.169839,0.183327,0.658147,0.481319,0.533225,0.558634,0.5961,1
0.528265,0.410495,0.543013,0.381226,0.959338,0.529605,0.678173,0.561297,1
0.330329,0.376844,0.457738,0.720522,0.75333,0.588554,0.716315,0.46738,0
0.344745,0.37477,0.320265,0.64566,0.810369,0.798287,0.755265,0.505256,0
0.344814,0.270008,0.285849,0.577941,0.472853,0.674173,0.642752,0.558869,0
0.403254,0.325454,0.368945,0.352784,0.683784,0.503871,0.726682,0.708109,0
0.480749,0.149103,0.513001,0.530745,0.471752,0.615878,0.678887,0.490691,0
0.364614,0.471326,0.173924,0.599369,0.771302,0.911912,0.755305,0.579539,0
0.498765,0.42363,0.459508,0.697345,0.400512,0.571933,0.578037,0.480235,0
0.401719,0.260778,0.270069,0.543311,0.363918,0.509482,0.632383,0.510507,0
0.450211,0.231851,0.185146,0.597275,0.60743,0.607919,0.621545,0.565639,1
0.554096,0.312977,0.403531,0.770271,0.563634,0.575994,0.715035,0.387939,1
0.707609,0.486799,0.619655,0.746452,0.170788,0.623489,0.723025,0.75738,1
0.416262,0.218329,0.214051,0.609315,0.439716,0.631404,0.608764,0.481159,0
0.321662,0.395798,0.304644,0.512558,0.525441,0.52362,0.777155,0.672262,0
0.573975,0.487651,0.551087,0.628834,0.33043,0.536992,0.664963,0.446771,1
0.504654,0.803281,0.397538,0.541514,0.74896,0.671579,0.440705,0.60597,1
0.407452,0.603853,0.332782,0.627273,0.63729,0.54745,0.689858,0.600491,1
0.321655,0.389565,0.400459,0.433796,0.474552,0.469074,0.79794,0.660498,0
0.369099,0.317963,0.34631,0.530836,0.415335,0.570532,0.734604,0.457816,0
0.351676,0.36767,0.320224,0.626002,0.446318,0.700287,0.801619,0.498345,0
0.735356,0.096926,0.297747,0.545268,0.6783,0.404106,0.563983,0.409861,1
0.460545,0.354729,0.264992,0.592918,0.339745,0.49429,0.732794,0.375895,0
0.477145,0.233128,0.304298,0.591537,0.473276,0.608535,0.686325,0.520719,0
0.434319,0.8984,0.386944,0.631183,0.576838,0.659395,0.330164,0.621072,0
0.358233,0.327739,0.309781,0.617647,0.775664,0.600809,0.698766,0.605351,1
0.531473,0.057977,0.294182,0.52577,0.366601,0.204935,0.506359,0.646213,1
0.564332,0.291589,0.314248,0.595599,0.497648,0.491143,0.653141,0.592771,0
0.459476,0.181353,0.345022,0.660205,0.435398,0.541248,0.595723,0.462103,0
0.540444,0.380964,0.31051,0.611207,0.558722,0.680655,0.513686,0.622759,1
0.429742,0.64595,0.404849,0.427881,0.708208,0.726463,0.269333,0.695662,1
0.526785,0.465443,0.514833,0.733935,0.6013,0.619403,0.717683,0.505549,1
0.444226,0.59405,0.534549,0.336196,0.530871,0.479178,0.894412,0.567168,1
0.608204,0.294239,0.47799,0.749203,0.466406,0.563649,0.64361,0.457498,1
0.493565,0.536056,0.215859,0.463709,0.301443,0.498645,0.674415,0.535163,0
0.350341,0.325392,0.431157,0.49202,0.486762,0.721282,0.683885,0.525367,0
0.451728,0.332642,0.372145,0.739241,0.478785,0.546288,0.598922,0.585545,0
0.424393,0.172769,0.341308,0.511761,0.547324,0.631122,0.641418,0.508268,0
0.39695,0.156757,0.382307,0.542623,0.457086,0.626125,0.615374,0.54664,0
0.413437,0.377656,0.41102,0.502839,0.839657,0.650982,0.66121,0.575784,0
0.564493,0.287812,0.335008,0.73915,0.248979,0.603549,0.76913,0.710679,0
0.373654,0.724147,0.422244,0.621025,0.609018,0.728011,0.421198,0.564832,0
0.511046,0.485305,0.196225,0.560263,0.47443,0.526546,0.603353,0.514725,0
0.403679,0.225638,0.367289,0.617463,0.438236,0.514487,0.656116,0.501223,0
0.39484,0.752701,0.349544,0.570789,0.416455,0.504313,0.792934,0.608029,1
0.566629,0.256295,0.472605,0.790799,0.382446,0.584485,0.777027,0.530197,0
0.24558,0.274075,0.486899,0.529431,0.42343,0.97705,0.622792,0.282596,0
0.438879,0.57931,0.108744,0.532114,0.11956,0.575824,0.642764,0.523756,0
0.553866,0.234307,0.522951,0.274187,0.427782,0.643661,0.571409,0.522191,0
0.480549,0.858632,0.383761,0.642939,0.664684,0.568545,0.386713,0.623378,0
0.324326,0.313603,0.258161,0.639398,0.487654,0.628197,0.684989,0.509176,0
0.614771,0.128351,0.336591,0.673061,0.425095,0.592658,0.608346,0.459305,0
0.327648,0.557125,0.448789,0.560793,0.548555,0.661681,0.646638,0.545075,0
0.68419,0.591587,0.511297,0.399575,0.464656,0.630629,0.801338,0.489957,1
0.762238,0.05215,0.484722,0.714335,0.424792,0.67812,0.749707,0.688477,0
0.572341,0.768865,0.345199,0.730518,0.820171,0.363164,0.772262,0.552978,1
0.67229,0.502855,0.179162,0.597929,0.558636,0.403199,0.687122,0.395009,1
0.35703,0.23257,0.478737,0.523598,0.434907,0.625717,0.71878,0.548516,0
0.422255,0.18902,0.517479,0.490416,0.457949,0.658354,0.671392,0.540272,0
0.372267,0.280862,0.270023,0.606946,0.473095,0.647283,0.70573,0.552908,0
0.72963,0.823547,0.435165,0.481519,0.173762,0.41403,0.923348,0.387588,1
0.538293,0.484545,0.291925,0.637958,0.550675,0.657932,0.589115,0.312212,0
0.554314,0.52484,0.240499,0.611162,0.229999,0.535971,0.554661,0.537558,0
0.607253,0.140261,0.261306,0.740845,0.477973,0.576846,0.609876,0.708146,0
0.373057,0.263178,0.317417,0.563829,0.497187,0.581301,0.684591,0.469183,0
0.439201,0.413707,0.393741,0.487621,0.871332,0.681618,0.644374,0.58317,1
0.509116,0.504533,0.426656,0.487129,0.361151,0.656062,0.675763,0.636698,1
0.447396,0.338856,0.36032,0.669533,0.607526,0.529785,0.718232,0.371683,0
