@relation 'unbalanced-weka.filters.supervised.attribute.NominalToBinary-N_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M8'

@attribute '-0.271WBN_LP_H_1.00-0.265WBN_LP_H_0.75+0.262WBN_EN_L_1.00+0.25 WBN_GC_L_1.00+0.25 WBN_EN_L_0.75...' numeric
@attribute -0.351WBN_LP_L_0.25-0.317WBN_LP_L_0.50+0.278PSA-0.257WBN_LP_L_0.75-0.246BBB... numeric
@attribute 0.377WBN_GC_H_0.25+0.343WBN_GC_H_0.50+0.324NumHBA-0.303WBN_GC_L_0.25-0.276WBN_GC_L_0.50... numeric
@attribute -0.396WBN_EN_H_0.25-0.328WBN_GC_H_0.50-0.327WBN_EN_H_0.50-0.325WBN_GC_H_0.25+0.306NumRot... numeric
@attribute -0.41WBN_LP_H_0.25-0.349WBN_GC_L_0.75-0.347WBN_GC_L_0.50-0.313WBN_GC_L_0.25-0.252WBN_LP_H_0.50... numeric
@attribute 0.398XLogP+0.352BadGroup-0.309NumHBD+0.284WBN_LP_H_0.25+0.271WBN_EN_H_0.25... numeric
@attribute 0.594BadGroup-0.451NumRot-0.263WBN_EN_H_0.25-0.246XLogP-0.24NumHBD... numeric
@attribute 0.389NumHBD-0.362WBN_EN_L_0.25+0.359WBN_EN_H_0.25-0.271WBN_EN_L_0.50-0.213PSA... numeric
@attribute Outcome {Active,Inactive}

@data
0.293399,0.138031,0.353518,0.661955,0.66543,0.491697,0.449189,0.699901,Active
0.080015,0.134135,0.405888,0.289169,0.783454,0.548978,0.410906,0.822632,Active
0.482907,0.321883,0.432313,0.414969,0.413777,0.371882,0.725488,0.516283,Active
0.459873,0.329511,0.435977,0.544777,0.241132,0.354161,0.257847,0.534884,Active
0.455856,0.227912,0.528668,0.639588,0.452485,0.449305,0.325141,0.502037,Active
0.156989,0.525255,0.660626,0.388455,0.627959,0.589718,0.339482,0.642302,Active
0.569348,0.323493,0.56638,0.59059,0.538117,0.583951,0.185717,0.308733,Active
0.309057,0.247646,0.416855,0.54852,0.582587,0.652829,0.55589,0.432339,Active
0.403526,0.193081,0.311625,0.277429,0.208752,0.54827,0.59557,0.663112,Active
0.178961,0.172992,0.479383,0.624596,0.663908,0.451616,0.425354,0.509245,Active
0.562535,0.256212,0.172728,0.65034,0.436202,0.661068,0.827374,0.68526,Active
0.313142,0.143031,0.349372,0.652806,0.69363,0.469798,0.471936,0.7161,Active
0.210387,0.628395,0.480383,0.538489,0.520909,0.616675,0.552725,0.396909,Inactive
0.211932,0.619526,0.420661,0.485277,0.508346,0.604187,0.53941,0.380462,Inactive
0.32371,0.646357,0.450461,0.826582,0.648843,0.622321,0.343941,0.794895,Inactive
0.350798,0.655718,0.248684,0.697011,0.546559,0.574452,0.392667,0.798081,Inactive
