@relation 'vote-weka.filters.supervised.attribute.NominalToBinary-N_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M8'

@attribute -0.325el-salvador-aid+0.315aid-to-nicaraguan-contras-0.312physician-fee-freeze+0.303mx-missile+0.294adoption-of-the-budget-resolution... numeric
@attribute '-0.62water-project-cost-sharing-0.506synfuels-corporation-cutback+0.39 immigration+0.195anti-satellite-test-ban+0.167education-spending...' numeric
@attribute '0.664immigration+0.37 religious-groups-in-schools+0.359synfuels-corporation-cutback+0.334export-administration-act-south-africa+0.208adoption-of-the-budget-resolution...' numeric
@attribute 0.601synfuels-corporation-cutback-0.524water-project-cost-sharing-0.373export-administration-act-south-africa+0.307duty-free-exports-0.202handicapped-infants... numeric
@attribute 0.832handicapped-infants-0.318duty-free-exports-0.239water-project-cost-sharing+0.216immigration+0.188synfuels-corporation-cutback... numeric
@attribute 0.659export-administration-act-south-africa-0.54immigration-0.323water-project-cost-sharing+0.206crime+0.193religious-groups-in-schools... numeric
@attribute -0.512duty-free-exports-0.431export-administration-act-south-africa+0.328mx-missile+0.268religious-groups-in-schools-0.242immigration... numeric
@attribute 0.405religious-groups-in-schools-0.399synfuels-corporation-cutback-0.399education-spending+0.355adoption-of-the-budget-resolution+0.307duty-free-exports... numeric
@attribute Class {democrat,republican}

@data
0.071192,0.586634,0.673191,0.228338,0.37793,0.519575,0.335107,0.46276,republican
0.073835,0.448141,0.422598,0.237554,0.27933,0.755379,0.439307,0.474118,republican
0.260384,0.078807,0.522994,0.674071,0.418452,0.371128,0.932558,0.736258,democrat
0.407969,0.05996,0.638355,0.471108,0.341294,0.690582,0.577671,0.724627,democrat
0.445274,0.03211,0.61129,0.508652,0.633655,0.722948,0.398013,0.853208,democrat
0.37631,0.281242,0.547752,0.341492,0.160094,0.676335,0.444119,0.990008,democrat
0.214458,0.373288,0.42033,0.335019,0.146535,0.649682,0.253232,0.754657,democrat
0.149961,0.387265,0.433543,0.212977,0.2947,0.692579,0.478479,0.632951,republican
0.073835,0.448141,0.422598,0.237554,0.27933,0.755379,0.439307,0.474118,republican
0.903062,0.442616,0.269457,0.114778,0.531642,0.538925,0.663639,0.418483,democrat
0.148784,0.409927,0.106735,0.41722,0.344017,0.193004,0.62317,0.498977,republican
0.169724,0.198093,0.576002,0.459483,0.384783,0.755896,0.475834,0.469548,republican
0.782968,0.461912,0.408713,0.119649,0.11429,0.520179,0.810509,0.388972,democrat
0.914664,0.328059,0.795674,0.477983,0.542953,0.411693,0.452695,0.53076,democrat
0.073835,0.448141,0.422598,0.237554,0.27933,0.755379,0.439307,0.474118,republican
