@relation 'crx-weka.filters.supervised.attribute.NominalToBinary_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A50-M8'

@attribute '0.454A5=g+0.454A4=u-0.449A4=y-0.449A5=p-0.186A10-0.18A9+0.158A11+0.127A8+0.108A6=q+0.108A3+0.101A2-0.084A7=ff-0.077A6=ff-0.056A6=j+0.056A7=z-0.051A6=k+0.051A13=g-0.051A4=l-0.051A5=gg+0.043A7=h-0.041A13=s-0.04A7=j+0.038A1-0.033A13=p-0.03A14-0.026A7=o+0.025A7=bb+0.025A6=e+0.025A6=x-0.016A6=aa+0.016A6=cc+0.015A12-0.014A7=dd-0.014A6=d+0.013A15+0.009A6=w-0.009A6=c-0.005A6=r-0.003A7=n+0.001A6=m+0.001A6=i+0    A7=v' numeric
@attribute '0.49 A4=l+0.49 A5=gg+0.379A7=o+0.366A15+0.255A13=p-0.238A13=g+0.154A13=s+0.12 A6=ff-0.113A4=y-0.113A5=p+0.092A9+0.092A10+0.088A7=ff-0.07A11-0.063A7=v+0.059A14+0.05 A4=u+0.05 A5=g-0.047A7=h-0.041A6=c-0.034A6=q+0.034A6=i+0.033A6=cc-0.032A6=x-0.032A6=aa+0.031A7=bb-0.03A6=w+0.03 A6=m-0.022A6=j+0.02 A3-0.017A8-0.016A6=k-0.012A7=j+0.011A12+0.011A6=r-0.01A7=z+0.009A6=d+0.008A1-0.008A7=dd-0.006A7=n-0.004A20    A6=e' numeric
@attribute '0.31 A7=v-0.28A11-0.276A3+0.271A13=s-0.267A13=g+0.263A10-0.262A8+0.237A9-0.224A2-0.186A6=ff-0.182A7=z-0.179A7=h-0.179A7=ff-0.15A15-0.149A6=e+0.142A5=g+0.142A4=u+0.133A14-0.13A4=y-0.13A5=p+0.126A6=m-0.1A4=l-0.1A5=gg+0.089A6=d-0.082A7=o-0.082A6=x+0.075A6=aa-0.074A1+0.064A6=w-0.062A6=cc+0.06 A6=k+0.047A6=i+0.044A6=c-0.043A6=q-0.043A6=r-0.041A6=j-0.039A7=dd+0.033A13=p-0.015A7=n-0.011A7=j-0.003A7=bb+0.001A12' numeric
@attribute '-0.523A7=ff-0.504A6=ff-0.244A9+0.223A7=v+0.192A8-0.183A1+0.171A12-0.153A6=j+0.149A11+0.138A15-0.133A7=j-0.122A10+0.121A14-0.117A5=g-0.117A4=u+0.111A4=l+0.111A5=gg+0.109A7=h+0.105A6=c+0.103A5=p+0.103A4=y+0.102A6=cc+0.093A6=x+0.085A6=w+0.076A6=m-0.075A2+0.071A7=o+0.045A3-0.044A6=i+0.041A6=r+0.038A6=q-0.031A13=g+0.03 A7=z+0.026A13=s+0.024A6=aa+0.024A6=e+0.022A6=k+0.02 A6=d+0.019A13=p-0.018A7=dd+0.017A7=n-0.004A7=bb' numeric
@attribute '0.368A13=s-0.343A13=g+0.333A7=bb+0.29 A2-0.284A7=v+0.262A6=e+0.252A6=i+0.231A7=z+0.223A8-0.192A1-0.168A6=q-0.149A6=aa+0.143A6=m+0.135A10-0.114A4=l-0.114A5=gg-0.105A7=o-0.105A15-0.101A6=j-0.097A6=w+0.094A7=dd-0.077A7=j+0.077A12+0.072A6=d+0.071A7=h-0.05A6=c+0.05 A14-0.047A6=cc+0.043A3+0.024A4=y+0.024A5=p-0.017A11-0.016A7=n-0.012A13=p-0.01A6=ff-0.01A5=g-0.01A4=u-0.008A9+0.003A6=r-0.003A7=ff+0.003A6=x-0.001A6=k' numeric
@attribute '0.49 A7=j+0.474A6=j-0.3A7=v+0.253A6=i+0.248A7=h+0.231A7=bb-0.221A6=ff-0.2A7=ff-0.151A7=z+0.148A1-0.138A6=e-0.116A6=w+0.111A14-0.102A3+0.096A12-0.095A6=m-0.092A6=aa+0.09 A6=x-0.084A2+0.072A6=r+0.07 A6=q+0.068A7=n+0.063A10-0.055A7=dd-0.052A8-0.043A11+0.041A6=cc-0.04A6=k-0.035A13=s+0.034A13=g+0.033A7=o-0.023A6=d-0.019A9-0.018A4=y-0.018A5=p+0.016A4=u+0.016A5=g+0.012A15+0.012A4=l+0.012A5=gg-0.011A6=c-0.004A13=p' numeric
@attribute '-0.402A6=e-0.392A7=j-0.391A6=j-0.338A7=z-0.237A7=dd+0.235A7=h+0.233A6=i+0.211A7=bb-0.188A7=v+0.15 A14+0.129A6=ff-0.119A3+0.118A6=x+0.113A6=r+0.112A13=g+0.111A7=ff+0.11 A7=n+0.107A12-0.101A13=s-0.092A1-0.085A6=aa+0.077A6=cc-0.062A6=m-0.044A13=p-0.042A2-0.036A6=w+0.032A6=q-0.029A11+0.019A6=c-0.01A6=d-0.01A15-0.01A4=l-0.01A5=gg-0.009A10+0.007A6=k+0.004A9-0.004A8-0.001A7=o+0.001A5=p+0.001A4=y+0.001A4=u+0.001A5=g' numeric
@attribute '-0.356A6=e+0.346A13=s-0.326A7=dd-0.321A13=g-0.265A6=i+0.23 A6=m+0.2  A11-0.199A9-0.19A7=bb-0.185A7=z-0.175A10+0.166A8-0.159A7=n+0.154A7=j+0.152A7=ff+0.149A6=j-0.145A6=r+0.128A6=ff+0.115A2-0.105A7=o+0.091A7=h-0.089A6=aa-0.087A15+0.087A6=cc+0.085A6=x+0.074A6=q+0.053A7=v+0.045A1+0.039A5=p+0.039A4=y-0.038A5=g-0.038A4=u+0.03 A12+0.028A6=d+0.017A3+0.013A6=k-0.013A14-0.012A13=p-0.009A6=c-0.003A5=gg-0.003A4=l+0.003A6=w' numeric
@attribute A16 {+,-}

@data
1.233747,-0.474079,0.800802,0.495748,-1.152334,-0.870131,-0.228178,0.002088,+
2.326809,-0.53501,-2.143261,-0.235453,-0.243612,0.844088,0.389711,1.026663,+
1.27957,-0.160884,-0.104745,-0.400386,-0.861311,1.526643,0.830729,-0.018954,+
1.514854,-0.5489,0.268424,1.06737,-0.935427,-0.828603,-0.155494,0.335887,+
0.565728,1.095033,3.076011,0.506039,1.424265,-1.079345,-1.158313,1.906679,+
0.947149,0.048454,1.498152,0.81377,0.433906,-0.56519,-0.139014,0.740302,+
1.18305,2.184042,-2.013437,1.8017,0.192308,2.116842,2.651801,-2.666019,+
1.106124,0.099005,0.213668,-0.005338,-1.398796,-0.077508,-0.346193,-0.046758,+
-3.223953,-0.992058,-1.672251,0.86406,1.125075,0.355435,0.761878,0.491235,+
-3.083501,-0.962802,-0.685776,1.610647,-0.178148,-1.007225,-0.321147,0.244194,+
0.540109,-0.076823,0.660893,-0.076753,0.061461,1.007701,1.068977,-0.675941,+
1.017033,-0.234111,-0.091296,0.250273,0.302349,0.829732,0.906086,-0.164507,+
0.931515,-0.23533,0.626826,-0.195445,-0.652924,-0.274075,-0.422365,-0.094658,+
0.512785,0.099336,1.071273,-0.675028,-0.279539,-0.876719,-0.468187,-0.650233,+
2.385679,-0.572522,-1.380549,0.526541,-0.984981,-0.298183,-0.510955,1.016496,+
-2.829738,-1.243677,-1.169755,1.970878,-0.386937,-0.708384,0.061404,0.849806,+
1.255924,-0.172081,1.187935,1.085795,-0.061084,-0.580383,-0.016522,1.089274,+
2.070469,-0.582854,-0.641829,0.362596,-1.834003,-0.155191,-0.445682,0.738721,+
0.801756,-0.154326,0.569628,0.064464,0.407611,0.915848,0.867772,-0.184762,+
1.740225,-0.280493,-1.569452,0.286499,-0.974818,1.050918,0.704029,0.722197,+
1.946106,-0.575902,-0.879427,1.199473,-0.985887,-0.848154,-0.40619,0.651615,+
0.373416,1.143813,3.369267,0.490201,1.663384,-0.504948,-0.731811,1.829656,+
2.063531,-0.489121,-1.235284,0.801894,-0.385397,-0.543621,-0.512158,0.850217,+
1.869494,-0.458595,-1.972145,0.230346,-0.327831,1.123969,0.776515,0.693561,+
1.933469,-0.457711,-0.376225,0.239981,-1.37741,0.016433,-0.243339,0.558095,+
1.31473,-0.486252,-0.460771,-0.041839,-0.983399,1.073287,0.657379,0.10316,+
2.271867,-0.124473,-2.009467,-0.134639,2.271102,1.741603,1.2856,-0.842,+
2.949644,-0.365458,-3.29318,1.317169,3.051608,-0.003703,0.377146,1.0744,+
2.172759,-0.460734,-2.996102,0.303665,2.38324,-0.577984,-1.777927,-1.121915,+
1.659704,0.262926,-0.107838,1.621173,-0.595419,-0.665637,0.127274,0.377704,+
1.758465,-0.490811,-0.482473,1.096694,-0.899217,-1.028242,-0.612997,0.112694,+
2.241112,-0.667492,-2.701166,0.903497,0.675035,0.578417,0.884832,1.259666,+
2.391197,0.087002,-2.273192,0.654401,2.745837,1.43312,1.557459,-0.652201,+
1.391464,0.081383,-0.752512,0.184705,0.89265,-0.886435,-2.587987,-1.935689,+
1.956016,-0.473314,-0.497045,0.366599,-1.862533,-0.047323,-0.417642,0.471749,+
1.584912,-0.509724,0.320166,1.386554,-0.976254,-0.637979,0.103754,0.469715,+
1.724875,-0.167057,-1.187145,1.490335,-0.080544,1.261952,1.649132,0.948797,+
1.707511,-0.347544,-1.466576,0.599826,-0.439768,1.553069,1.2255,0.5921,+
-3.006705,-0.947324,-0.881266,1.722592,-0.988698,-0.400722,0.264474,0.670587,+
1.897877,0.335396,-4.117938,-2.815142,1.317742,-1.989963,0.845017,2.313164,+
1.955053,-0.640522,-0.931823,1.260001,-0.513008,-0.796721,-0.320629,0.720104,+
2.116752,-0.471912,-2.305896,0.891892,0.029998,0.16336,0.317602,0.712093,+
1.335722,-0.434493,-0.271794,0.333367,-0.434635,0.375356,0.747901,0.084615,+
2.105722,-0.550954,-1.101872,1.395391,-0.228994,-1.269911,-0.53049,0.77871,+
0.093847,-1.898148,-7.156498,4.218098,1.708862,-2.315196,-1.256946,3.649691,+
2.07726,-0.617752,-2.058091,0.789298,0.595854,0.381313,0.645365,0.891174,+
-1.720054,-1.326136,-3.400282,1.897006,-0.527302,1.21528,0.98697,1.781354,+
1.708928,-0.193309,-1.446054,0.906368,0.144384,0.815455,1.160738,0.808985,+
0.732995,0.371972,0.711397,-1.105251,2.543171,1.835065,1.797488,-2.316904,+
0.344349,-0.111338,1.850936,-0.384814,-0.948566,-0.414889,-0.142001,-0.935048,+
0.894946,-0.11499,0.355648,0.168065,-0.236049,1.604143,1.173435,-0.235694,+
1.151489,-0.224476,1.088522,0.512082,-0.97183,0.136253,0.257013,-0.132605,+
0.88996,0.236211,1.233871,0.76139,-0.683611,-0.469923,0.063999,-0.431922,+
0.891603,-0.209211,1.295923,0.517441,-0.677764,-0.578392,-0.067323,-0.350376,+
1.359495,-0.083058,-1.043555,0.734576,0.632514,0.951543,1.12807,0.508675,+
-3.210769,-0.960707,-0.39627,1.705666,-0.691415,-0.904874,-0.313304,-0.023965,+
0.785713,-0.089009,0.986851,0.196085,-1.06531,-0.219953,0.061832,-0.152638,+
1.17906,0.006444,-0.23137,0.144938,1.891813,1.907764,1.939221,-0.860247,+
0.572732,1.449538,1.806443,0.83412,3.467469,1.336043,1.160653,2.344132,+
2.347327,-0.667476,-2.082989,0.582723,-0.012218,0.593282,0.679755,1.131557,+
