@relation 'unbalanced_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A33-M8'

@attribute '-0.271WBN_LP_H_1.00-0.265WBN_LP_H_0.75+0.262WBN_EN_L_1.00+0.25 WBN_GC_L_1.00+0.25 WBN_EN_L_0.75-0.249WBN_GC_H_1.00-0.245WBN_LP_H_0.50-0.239WBN_EN_H_1.00+0.233WBN_LP_L_1.00+0.228WBN_EN_L_0.50-0.222WBN_EN_H_0.75+0.213WBN_LP_L_0.75+0.208WBN_GC_L_0.75-0.207WBN_GC_H_0.75+0.196WBN_EN_L_0.25-0.178WBN_EN_H_0.50+0.173WBN_LP_L_0.50-0.129WBN_LP_H_0.25-0.125WBN_GC_H_0.50-0.113WBN_EN_H_0.25-0.11XLogP-0.106MW+0.084WBN_LP_L_0.25+0.079NumHBD+0.062WBN_GC_L_0.50-0.062WBN_GC_H_0.25+0.05 BadGroup+0.048NumHBA-0.03PSA-0.029NumRot-0.024BBB+0.022WBN_GC_L_0.25' numeric
@attribute '-0.351WBN_LP_L_0.25-0.317WBN_LP_L_0.50+0.278PSA-0.257WBN_LP_L_0.75-0.246BBB+0.227WBN_EN_L_0.25+0.227WBN_EN_H_0.75-0.215WBN_LP_L_1.00-0.203XLogP+0.203WBN_EN_H_1.00+0.201WBN_EN_L_0.50+0.172NumHBA+0.167WBN_GC_L_0.25+0.166WBN_GC_L_0.50+0.166WBN_EN_H_0.50+0.166WBN_EN_L_0.75+0.147NumRot+0.145NumHBD+0.133WBN_EN_L_1.00-0.131WBN_LP_H_0.25+0.13 MW-0.121WBN_LP_H_0.50-0.092WBN_GC_H_0.50-0.09WBN_LP_H_0.75-0.083WBN_GC_L_1.00-0.079WBN_GC_H_0.25-0.074WBN_GC_H_0.75+0.07 WBN_EN_H_0.25-0.07WBN_LP_H_1.00-0.053WBN_GC_H_1.00+0.053WBN_GC_L_0.75-0.032BadGroup' numeric
@attribute 0.377WBN_GC_H_0.25+0.343WBN_GC_H_0.50+0.324NumHBA-0.303WBN_GC_L_0.25-0.276WBN_GC_L_0.50+0.253WBN_GC_H_0.75-0.25BBB+0.234PSA+0.216MW+0.215BadGroup+0.212NumRot+0.168WBN_GC_H_1.00+0.138NumHBD+0.137WBN_GC_L_1.00-0.12WBN_EN_H_1.00-0.099WBN_LP_H_0.50+0.098WBN_EN_H_0.25-0.095WBN_LP_H_0.75-0.092WBN_EN_H_0.75-0.09WBN_LP_H_1.00-0.075WBN_LP_H_0.25+0.064WBN_LP_L_1.00+0.055WBN_LP_L_0.75-0.05XLogP+0.046WBN_LP_L_0.25+0.043WBN_LP_L_0.50-0.039WBN_GC_L_0.75-0.032WBN_EN_L_0.25+0.025WBN_EN_H_0.50-0.019WBN_EN_L_0.50+0.009WBN_EN_L_1.00-0.004WBN_EN_L_0.75 numeric
@attribute -0.396WBN_EN_H_0.25-0.328WBN_GC_H_0.50-0.327WBN_EN_H_0.50-0.325WBN_GC_H_0.25+0.306NumRot+0.256MW-0.254WBN_GC_L_0.25-0.251WBN_GC_L_0.50-0.227WBN_GC_H_0.75+0.171NumHBA-0.164WBN_GC_L_0.75-0.137WBN_GC_H_1.00-0.122WBN_EN_L_0.25+0.118PSA-0.117BBB-0.113WBN_EN_H_0.75-0.112WBN_EN_L_0.50-0.099WBN_EN_L_0.75-0.089WBN_EN_L_1.00-0.079WBN_GC_L_1.00-0.055WBN_LP_L_1.00-0.052WBN_LP_L_0.75+0.049WBN_LP_H_1.00+0.049WBN_LP_H_0.75-0.045WBN_LP_L_0.50+0.042WBN_LP_H_0.50-0.031NumHBD-0.029WBN_LP_L_0.25-0.028WBN_EN_H_1.00+0.026XLogP-0.017BadGroup-0.011WBN_LP_H_0.25 numeric
@attribute -0.41WBN_LP_H_0.25-0.349WBN_GC_L_0.75-0.347WBN_GC_L_0.50-0.313WBN_GC_L_0.25-0.252WBN_LP_H_0.50-0.233NumHBD-0.226MW-0.217PSA-0.207NumHBA-0.194BadGroup-0.182WBN_GC_L_1.00-0.162WBN_LP_H_0.75-0.134WBN_LP_L_0.75-0.133XLogP-0.131WBN_LP_L_1.00-0.124WBN_LP_H_1.00-0.122WBN_LP_L_0.50+0.115WBN_EN_L_0.25-0.098NumRot+0.098BBB+0.078WBN_EN_L_0.50-0.07WBN_LP_L_0.25+0.048WBN_EN_L_0.75+0.047WBN_GC_H_0.50+0.038WBN_EN_H_0.25+0.035WBN_GC_H_0.75+0.032WBN_GC_H_0.25+0.024WBN_EN_L_1.00+0.024WBN_GC_H_1.00+0.018WBN_EN_H_0.50-0.01WBN_EN_H_0.75-0.008WBN_EN_H_1.00 numeric
@attribute '0.398XLogP+0.352BadGroup-0.309NumHBD+0.284WBN_LP_H_0.25+0.271WBN_EN_H_0.25+0.251WBN_EN_H_0.50+0.211MW-0.203PSA-0.188WBN_GC_L_0.25+0.187WBN_EN_L_0.75+0.187WBN_EN_L_0.50-0.181WBN_GC_L_0.50+0.18 WBN_EN_L_1.00+0.172WBN_EN_L_0.25+0.134WBN_EN_H_0.75-0.134WBN_GC_H_0.75-0.124WBN_GC_H_1.00+0.12 BBB-0.114WBN_GC_H_0.50+0.097NumRot-0.083WBN_GC_L_0.75+0.075NumHBA-0.075WBN_GC_H_0.25+0.067WBN_EN_H_1.00+0.056WBN_LP_H_0.50-0.048WBN_LP_L_0.25+0.037WBN_LP_L_1.00-0.036WBN_LP_H_1.00+0.019WBN_LP_L_0.75+0.017WBN_GC_L_1.00-0.014WBN_LP_H_0.75-0.008WBN_LP_L_0.50' numeric
@attribute '0.594BadGroup-0.451NumRot-0.263WBN_EN_H_0.25-0.246XLogP-0.24NumHBD+0.203WBN_LP_H_0.25-0.2MW-0.193WBN_EN_H_0.50+0.154NumHBA-0.153WBN_LP_L_0.50-0.149WBN_LP_L_0.25-0.145WBN_LP_L_0.75-0.132WBN_LP_L_1.00-0.087BBB+0.075WBN_GC_H_1.00+0.071WBN_GC_H_0.75-0.051WBN_EN_H_0.75-0.041WBN_LP_H_1.00-0.036WBN_LP_H_0.75-0.036WBN_EN_L_1.00-0.034PSA-0.031WBN_EN_L_0.75+0.03 WBN_GC_H_0.50-0.023WBN_EN_L_0.50-0.018WBN_GC_H_0.25-0.014WBN_EN_H_1.00+0.013WBN_GC_L_0.75+0.012WBN_GC_L_0.50+0.006WBN_LP_H_0.50+0.006WBN_GC_L_1.00+0.001WBN_GC_L_0.25+0.001WBN_EN_L_0.25' numeric
@attribute '0.389NumHBD-0.362WBN_EN_L_0.25+0.359WBN_EN_H_0.25-0.271WBN_EN_L_0.50-0.213PSA-0.209WBN_LP_L_0.25-0.198WBN_GC_H_0.75-0.196WBN_GC_H_1.00+0.192WBN_EN_H_0.50-0.191WBN_EN_L_0.75-0.174WBN_LP_H_1.00-0.155WBN_EN_H_1.00-0.15WBN_GC_H_0.50-0.149WBN_LP_H_0.75-0.138WBN_EN_L_1.00+0.137BBB-0.137WBN_LP_L_0.50+0.135NumHBA-0.113WBN_GC_L_0.25-0.112MW+0.11 WBN_GC_L_1.00-0.104WBN_LP_L_0.75+0.097BadGroup-0.087WBN_LP_H_0.50+0.086WBN_GC_L_0.75-0.082WBN_LP_L_1.00-0.072WBN_EN_H_0.75-0.07XLogP-0.063WBN_GC_L_0.50-0.059WBN_GC_H_0.25-0.049NumRot+0.039WBN_LP_H_0.25' numeric
@attribute Outcome {Active,Inactive}

@data
-1.044062,-2.954048,-0.711624,0.621774,0.92467,-0.833551,-0.430699,0.482579,Active
-5.408424,-3.005742,-0.103095,-2.99914,2.24288,-0.228259,-0.663007,1.261275,Active
2.83196,-0.514868,0.203963,-1.777233,-1.886047,-2.099667,1.245928,-0.682429,Active
2.360854,-0.413664,0.24654,-0.51639,-3.814327,-2.286929,-1.591792,-0.56441,Active
2.278692,-1.761586,1.323604,0.404522,-1.453726,-1.281519,-1.183442,-0.772813,Active
-3.834064,2.183294,2.856951,-2.034763,0.506155,0.202259,-1.09642,0.117129,Active
4.59995,-0.493506,1.76182,-0.071403,-0.497297,0.141308,-2.029492,-1.999276,Active
-0.723802,-1.49977,0.024346,-0.480038,-0.000608,0.869166,0.216779,-1.215028,Active
1.208368,-2.223694,-1.198424,-3.113171,-4.175981,-0.235734,0.457566,0.249165,Active
-3.384671,-2.490224,0.75092,0.258897,0.907666,-1.257097,-0.575333,-0.727079,Active
4.460594,-1.386131,-2.8124,0.508951,-1.635588,0.956229,1.864188,0.389688,Active
-0.640252,-2.887714,-0.759809,0.532907,1.239633,-1.06496,-0.292668,0.585361,Active
-2.741914,3.551664,0.762537,-0.577471,-0.68949,0.48712,0.197577,-1.439825,Inactive
-2.71031,3.433996,0.068569,-1.094325,-0.829802,0.355152,0.116778,-1.544175,Inactive
-0.424102,3.789972,0.414843,2.220812,0.739411,0.546772,-1.069363,1.085291,Inactive
0.129921,3.914161,-1.929796,0.962276,-0.403007,0.040937,-0.77368,1.105504,Inactive
-0.391895,4.156526,1.622024,0.665794,-0.205077,-0.60661,-0.825891,1.13195,Inactive
-0.628805,3.294436,1.30507,0.700673,0.91122,0.169492,-0.497733,0.831551,Inactive
-0.850094,3.558478,-1.882398,1.300663,-0.859272,-0.503745,-0.360231,1.611692,Inactive
-0.042897,4.188564,-1.705185,-0.358484,-0.01859,0.272436,-1.009808,1.868978,Inactive
2.495531,-2.249911,0.386024,0.208029,-0.962523,0.867259,-0.764344,0.391428,Inactive
0.240586,-0.468262,-0.448865,1.645886,0.100806,1.122396,-0.964448,-1.695367,Inactive
-0.571418,0.055454,3.683513,-1.179395,0.959712,-0.943003,0.17681,-0.469042,Inactive
-0.75605,1.404369,4.681028,-3.349056,1.611654,0.180664,0.4693,0.550156,Inactive
-0.808571,1.686066,4.613771,-2.886286,1.719791,0.000583,0.430228,0.844054,Inactive
0.920866,-0.885798,2.286216,-2.042471,0.34564,0.252559,2.191873,0.018351,Inactive
-1.859479,0.384277,5.701536,-5.144112,2.022403,-0.176284,0.717719,-0.402499,Inactive
-1.834024,0.389907,5.588406,-5.301203,2.12907,-0.398806,0.991734,-0.301567,Inactive
0.582667,-1.120768,2.242739,-1.919649,1.301161,0.067178,2.788848,0.246144,Inactive
0.820108,0.093511,0.934484,-5.807863,-0.386085,-0.73238,1.399224,0.826368,Inactive
1.20808,0.53728,0.90321,-5.295294,-0.334182,-0.936692,1.606839,0.851347,Inactive
1.136121,-0.319947,2.422339,-1.982548,2.072574,-1.177786,2.38094,-0.037923,Inactive
2.394083,-1.438923,-2.258624,-0.91175,-3.447295,1.444507,0.305001,0.26145,Inactive
1.988828,-0.950927,-1.896345,-1.980892,-3.408672,2.376556,-0.623568,1.058678,Inactive
2.364665,-1.405011,-2.203222,-0.871459,-3.529249,1.572537,0.222186,0.154665,Inactive
1.887384,-1.410345,-1.871107,-0.280807,-4.049609,2.16364,-0.646402,-0.075881,Inactive
0.10723,4.028242,0.06538,2.121974,0.966852,0.228164,-0.584723,1.333798,Inactive
-0.030659,3.453139,-2.834656,0.232752,-0.761898,0.393854,-0.68178,0.891015,Inactive
0.56602,4.78618,-1.550052,0.619895,-0.849899,-1.00729,-0.944526,1.434659,Inactive
0.111849,4.842625,-0.851847,1.380615,-1.430699,-0.242794,-1.52446,1.221637,Inactive
0.008348,4.550368,-1.492492,0.881658,-1.495234,-0.526414,-1.186897,1.259105,Inactive
0.015701,4.534006,-1.555652,0.767076,-1.512166,-0.472575,-1.034863,1.181477,Inactive
0.470638,3.692431,-2.926031,0.097198,-0.380218,0.23247,-0.555435,0.967218,Inactive
-0.277242,3.185004,-0.67763,2.268906,0.678826,1.567821,-1.513913,1.128226,Inactive
-0.471087,3.180971,-2.722083,0.843449,-0.642121,0.7968,-0.34786,0.761382,Inactive
0.220582,3.64139,-2.886544,0.276993,-0.395309,-0.284225,-0.536442,1.237465,Inactive
0.065728,3.920545,-2.380169,0.754846,-0.842699,0.052378,-0.85746,1.118929,Inactive
-1.307681,3.227592,-2.347271,1.319761,-1.675689,0.501423,-1.692577,0.943414,Inactive
-1.221348,3.383547,-2.256013,1.430819,-1.593913,0.305063,-1.809563,0.992165,Inactive
-0.347557,3.450849,-0.144415,1.943399,0.808479,0.731784,-0.868806,1.129704,Inactive
0.371993,3.760215,0.29896,2.157927,1.515634,1.238175,-1.043725,1.060791,Inactive
-0.491623,4.742306,-0.412209,1.634159,-0.640329,-0.205109,-0.538344,0.370394,Inactive
2.658453,-0.20247,1.750082,-1.347854,0.760084,-1.709156,0.864202,-0.256399,Inactive
-1.700174,2.349124,0.649219,1.797986,-1.039957,3.787549,1.679124,0.212765,Inactive
-1.667874,2.164667,0.455906,1.560548,-1.644284,4.53779,2.34038,0.231945,Inactive
-0.796705,3.096143,0.133916,1.502156,0.234311,1.716926,-0.006519,0.609373,Inactive
-2.30855,2.071103,1.224783,-1.267321,0.541236,3.75264,0.104646,0.558632,Inactive
-0.704002,3.678231,-0.534228,-1.42195,0.239977,-1.570941,0.987345,-0.02415,Inactive
-2.590549,2.706687,1.02545,3.905235,1.092575,3.103595,0.583072,0.900497,Inactive
-1.797703,2.330345,-0.068755,3.850534,2.398081,3.324744,0.793588,1.334725,Inactive
-1.747005,2.136927,-0.658278,0.152007,0.724151,3.088465,-0.32836,0.922775,Inactive
-1.271025,2.268695,-0.111193,1.190999,-0.809693,3.379268,1.99567,0.394915,Inactive
-2.979178,2.314915,1.899515,-0.917738,0.246596,2.649807,-0.577282,0.831423,Inactive
-0.349661,1.766278,3.054266,-2.170511,1.962597,0.359328,-0.901504,0.7859,Inactive
-2.398313,2.809914,2.495499,2.711919,-0.953293,-0.37559,-1.972275,-1.342819,Inactive
-1.586479,3.085459,1.03294,0.505109,-0.686429,-2.286285,-0.915182,-1.405639,Inactive
-2.864192,5.53894,1.92911,0.867839,-2.017651,-2.437003,-1.080255,-0.628684,Inactive
-2.251123,3.196835,2.80944,3.105705,-0.923819,-0.74262,-2.285151,-1.220262,Inactive
-2.451284,2.210077,1.772689,2.299335,-0.614782,-0.342878,-1.905384,-1.211246,Inactive
-2.081861,2.030136,1.896443,1.722265,-0.040545,-0.046974,-0.257752,-1.4219,Inactive
-2.079806,2.724131,2.06101,2.296325,-0.400861,-0.894065,-1.527182,-1.169543,Inactive
-2.363268,2.367084,1.852042,2.364085,-0.565381,-0.347883,-2.017535,-1.304216,Inactive
-2.212126,1.777504,1.364074,1.441809,-0.311276,-0.009925,-0.394392,-1.401931,Inactive
-3.465186,1.042636,1.128157,2.651041,-0.265324,-0.591542,-0.897904,-0.22997,Inactive
-3.669562,2.339447,3.217491,2.39929,-1.537815,-1.768659,-1.317299,-0.265686,Inactive
-3.78866,1.895915,3.263038,2.62951,-1.093638,-1.308376,-1.543357,-0.211155,Inactive
