@relation 'vote-weka.filters.supervised.attribute.NominalToBinary_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A517-M8'

@attribute -0.328el-salvador-aid+0.319aid-to-nicaraguan-contras-0.309physician-fee-freeze+0.298mx-missile+0.292adoption-of-the-budget-resolution+0.289anti-satellite-test-ban-0.286education-spending-0.284crime-0.274superfund-right-to-sue-0.258religious-groups-in-schools+0.245duty-free-exports+0.187handicapped-infants+0.176export-administration-act-south-africa+0.069synfuels-corporation-cutback-0.053water-project-cost-sharing-0.011immigration numeric
@attribute -0.627water-project-cost-sharing-0.534synfuels-corporation-cutback+0.352immigration+0.183anti-satellite-test-ban-0.174handicapped-infants+0.163education-spending+0.151mx-missile+0.142physician-fee-freeze+0.131crime-0.11religious-groups-in-schools+0.109export-administration-act-south-africa-0.098superfund-right-to-sue-0.096adoption-of-the-budget-resolution+0.046aid-to-nicaraguan-contras-0.041el-salvador-aid-0.016duty-free-exports numeric
@attribute 0.691immigration+0.404synfuels-corporation-cutback+0.355export-administration-act-south-africa+0.331religious-groups-in-schools+0.184adoption-of-the-budget-resolution-0.179handicapped-infants+0.151crime+0.109superfund-right-to-sue-0.097physician-fee-freeze+0.077aid-to-nicaraguan-contras+0.069water-project-cost-sharing-0.034duty-free-exports+0.029anti-satellite-test-ban-0.027education-spending+0.012el-salvador-aid+0.003mx-missile numeric
@attribute -0.549handicapped-infants+0.431synfuels-corporation-cutback-0.402water-project-cost-sharing+0.402duty-free-exports-0.316export-administration-act-south-africa-0.177immigration-0.148superfund-right-to-sue-0.099physician-fee-freeze+0.086religious-groups-in-schools-0.078anti-satellite-test-ban-0.073el-salvador-aid+0.055education-spending-0.046adoption-of-the-budget-resolution-0.041aid-to-nicaraguan-contras-0.023mx-missile-0.019crime numeric
@attribute '0.663export-administration-act-south-africa-0.488handicapped-infants-0.416immigration-0.216synfuels-corporation-cutback+0.214water-project-cost-sharing+0.145duty-free-exports+0.121religious-groups-in-schools+0.089anti-satellite-test-ban+0.062superfund-right-to-sue+0.059physician-fee-freeze+0.058education-spending+0.039aid-to-nicaraguan-contras-0.031crime+0.019el-salvador-aid+0.01 adoption-of-the-budget-resolution-0.001mx-missile' numeric
@attribute -0.499water-project-cost-sharing+0.414handicapped-infants+0.399export-administration-act-south-africa-0.342immigration+0.334synfuels-corporation-cutback+0.234crime-0.195duty-free-exports+0.153el-salvador-aid-0.149superfund-right-to-sue-0.141mx-missile+0.105religious-groups-in-schools-0.09aid-to-nicaraguan-contras+0.082education-spending-0.054physician-fee-freeze+0.048adoption-of-the-budget-resolution+0.046anti-satellite-test-ban numeric
@attribute -0.533duty-free-exports+0.375mx-missile+0.337religious-groups-in-schools-0.262immigration+0.261superfund-right-to-sue-0.256export-administration-act-south-africa+0.244aid-to-nicaraguan-contras+0.226adoption-of-the-budget-resolution-0.205el-salvador-aid-0.171handicapped-infants+0.163crime-0.162physician-fee-freeze+0.132anti-satellite-test-ban-0.073water-project-cost-sharing-0.037synfuels-corporation-cutback+0.012education-spending numeric
@attribute '0.474religious-groups-in-schools-0.414synfuels-corporation-cutback+0.388adoption-of-the-budget-resolution-0.355education-spending-0.268physician-fee-freeze+0.25 duty-free-exports-0.25anti-satellite-test-ban+0.19 el-salvador-aid-0.189mx-missile-0.147water-project-cost-sharing-0.139aid-to-nicaraguan-contras+0.099handicapped-infants-0.079export-administration-act-south-africa-0.046crime-0.011immigration-0.004superfund-right-to-sue' numeric
@attribute Class {democrat,republican}

@data
-3.494264,-0.126277,1.146734,-0.642118,0.611712,-0.391276,-0.684021,-0.592882,republican
-3.621029,-0.482149,-0.752846,-0.445359,1.250633,-0.178885,0.01223,-0.20676,republican
-2.152721,-2.747094,-0.348054,0.639114,-1.402408,-0.053916,1.024422,1.053913,democrat
-0.621062,-2.623185,0.611925,0.405319,0.979925,0.150823,0.434067,0.865544,democrat
-0.902826,-2.636245,0.476418,0.060066,0.292399,1.300182,-0.884986,1.372148,democrat
-1.176558,-1.288199,0.003889,0.212386,1.695011,-0.327956,-0.468454,2.366881,democrat
-2.13756,-0.699657,-0.683658,0.253438,1.732612,-0.387656,-1.530896,1.020834,democrat
-2.706183,-0.779214,-0.532916,-0.376048,1.622528,-0.304811,-0.630129,0.718042,republican
-3.524405,-0.422429,-0.557925,-0.618874,1.615211,0.040617,-0.128577,-0.250182,republican
3.03859,-0.660913,-1.551313,-1.193624,0.067183,-0.562554,0.331785,-0.154048,democrat
-3.097589,-1.119126,-1.95182,0.393176,-0.822884,-1.194537,-0.130965,-0.908011,republican
-2.909979,-1.831911,0.110185,0.76536,0.850363,0.259791,-0.556653,-0.435846,republican
2.093989,-0.507108,-0.962189,-0.378245,1.190537,-1.713274,1.218839,-0.363853,democrat
2.35232,-1.350514,1.332268,0.101681,-0.748904,-0.334943,-0.572487,0.117712,democrat
-3.10499,-0.494028,-0.989899,-0.280112,1.214275,-0.22636,-0.389057,-0.164753,republican
-3.404376,0.115756,0.512219,-0.78575,0.440055,-1.066432,-0.652474,-0.191401,republican
0.824862,-0.20871,1.476471,0.012431,-1.186839,1.196254,0.571952,-0.059476,democrat
2.919359,-0.162281,-1.246096,-0.769359,0.508291,-0.358856,0.168252,0.248747,democrat
-3.694237,-0.938794,-1.566422,0.240764,-0.401454,-1.230026,0.608274,0.411158,republican
3.574259,-1.758256,-0.5359,0.031842,0.145586,0.135359,-0.524354,-0.780303,democrat
2.614406,-2.215809,-0.095194,0.193823,0.310358,0.56686,-0.837471,0.248578,democrat
2.790477,-0.56163,-1.097622,-1.065542,0.631436,-0.443991,0.02881,0.041981,democrat
3.229114,0.18396,-1.493307,-0.415568,0.431547,0.020328,-0.358685,-0.059255,democrat
3.427489,-0.620304,-1.397501,-0.887096,0.604758,-0.576247,-0.446109,0.101778,democrat
3.442868,0.648856,-1.738002,0.138166,-0.212925,0.260594,-0.151088,0.456002,democrat
3.516455,1.417029,-0.150597,-0.391541,-0.685479,-0.209625,-0.818989,0.389475,democrat
3.686262,-0.429376,-0.681479,0.883591,-0.307519,1.191703,-0.370139,-0.469501,democrat
3.574259,-1.758256,-0.5359,0.031842,0.145586,0.135359,-0.524354,-0.780303,democrat
-0.627575,1.561301,-1.543586,-1.359046,0.173294,1.338862,0.507688,-1.92039,republican
3.574259,-1.758256,-0.5359,0.031842,0.145586,0.135359,-0.524354,-0.780303,democrat
-4.040251,-0.741255,-1.598551,0.307469,-0.331166,-1.131242,0.623147,-0.018365,republican
3.477635,-1.817976,-0.730821,0.205356,-0.218992,-0.084143,-0.383548,-0.736881,democrat
2.840755,-0.113116,0.218614,-1.548126,-0.104045,-1.572655,-0.435352,0.071445,democrat
-3.524405,-0.422429,-0.557925,-0.618874,1.615211,0.040617,-0.128577,-0.250182,republican
3.427489,-0.620304,-1.397501,-0.887096,0.604758,-0.576247,-0.446109,0.101778,democrat
-4.040251,-0.741255,-1.598551,0.307469,-0.331166,-1.131242,0.623147,-0.018365,republican
-2.834621,0.688913,0.287207,-1.523265,-0.504655,0.869358,-1.192042,0.08703,republican
