@relation monk-2
@attribute A1 INTEGER [1,3]
@attribute A2 INTEGER [1,3]
@attribute A3 INTEGER [1,2]
@attribute A4 INTEGER [1,3]
@attribute A5 INTEGER [1,4]
@attribute A6 INTEGER [1,2]
@attribute Class {0,1}
@data
1,1,1,1,1,1,1
1,1,1,1,1,2,1
1,1,1,1,2,2,1
1,1,1,1,3,1,1
1,1,1,1,3,2,1
1,1,1,1,4,1,0
1,1,1,1,4,2,0
1,1,1,2,1,1,1
1,1,1,2,1,2,1
1,1,1,2,2,1,1
1,1,1,2,2,2,1
1,1,1,2,3,1,1
1,1,1,2,3,2,1
1,1,1,2,4,1,0
1,1,1,2,4,2,0
1,1,1,3,1,1,1
1,1,1,3,1,2,1
1,1,1,3,2,2,1
1,1,1,3,3,1,1
1,1,1,3,4,1,0
1,1,1,3,4,2,0
1,1,2,1,1,1,1
1,1,2,1,1,2,1
1,1,2,1,2,2,1
1,1,2,1,3,1,1
1,1,2,1,4,1,0
1,1,2,1,4,2,0
1,1,2,2,1,1,1
1,1,2,2,1,2,1
1,1,2,2,2,1,1
1,1,2,2,2,2,1
1,1,2,2,3,1,1
1,1,2,2,3,2,1
1,1,2,2,4,1,0
1,1,2,2,4,2,0
1,1,2,3,1,1,1
1,1,2,3,1,2,1
1,1,2,3,2,1,1
1,1,2,3,2,2,1
1,1,2,3,3,1,1
1,1,2,3,3,2,1
1,1,2,3,4,1,0
1,1,2,3,4,2,0
1,2,1,1,1,1,1
1,2,1,1,1,2,1
1,2,1,1,2,1,1
1,2,1,1,2,2,1
1,2,1,1,3,1,1
1,2,1,1,3,2,1
1,2,1,1,4,1,0
1,2,1,2,1,1,1
1,2,1,2,1,2,1
1,2,1,2,2,1,1
1,2,1,2,2,2,1
1,2,1,2,3,1,1
1,2,1,2,3,2,1
1,2,1,2,4,1,0
1,2,1,2,4,2,0
1,2,1,3,1,1,1
1,2,1,3,1,2,1
1,2,1,3,2,1,1
1,2,1,3,2,2,1
1,2,1,3,3,1,1
1,2,1,3,3,2,1
1,2,1,3,4,1,0
1,2,1,3,4,2,0
1,2,2,1,1,1,1
1,2,2,1,1,2,1
1,2,2,1,2,1,1
1,2,2,1,2,2,1
1,2,2,1,3,1,1
1,2,2,1,3,2,1
1,2,2,1,4,1,0
1,2,2,1,4,2,0
1,2,2,2,1,2,1
1,2,2,2,2,1,1
1,2,2,2,3,1,1
1,2,2,2,3,2,1
1,2,2,2,4,1,0
1,2,2,2,4,2,0
1,2,2,3,1,1,1
1,2,2,3,1,2,1
1,2,2,3,2,1,1
1,2,2,3,3,1,1
1,2,2,3,3,2,1
1,2,2,3,4,2,0
1,3,1,1,1,1,0
1,3,1,1,1,2,0
1,3,1,1,2,1,0
1,3,1,1,2,2,0
1,3,1,1,3,1,1
1,3,1,1,3,2,1
1,3,1,1,4,1,0
1,3,1,1,4,2,0
1,3,1,2,1,1,0
1,3,1,2,2,1,0
1,3,1,2,2,2,0
1,3,1,2,3,2,0
1,3,1,2,4,1,0
1,3,1,3,1,1,0
1,3,1,3,1,2,0
1,3,1,3,2,1,0
1,3,1,3,2,2,0
1,3,1,3,3,1,0
1,3,1,3,3,2,0
1,3,1,3,4,1,0
1,3,1,3,4,2,0
1,3,2,1,1,1,0
1,3,2,1,2,1,0
1,3,2,1,2,2,0
1,3,2,1,3,1,1
1,3,2,1,3,2,1
1,3,2,1,4,1,0
1,3,2,1,4,2,0
1,3,2,2,1,1,0
1,3,2,2,1,2,0
1,3,2,2,2,1,0
1,3,2,2,2,2,0
1,3,2,2,3,1,0
1,3,2,2,4,1,0
1,3,2,2,4,2,0
1,3,2,3,1,1,0
1,3,2,3,1,2,0
1,3,2,3,2,1,0
1,3,2,3,2,2,0
1,3,2,3,3,1,0
1,3,2,3,3,2,0
1,3,2,3,4,1,0
1,3,2,3,4,2,0
2,1,1,1,1,1,1
2,1,1,1,1,2,1
2,1,1,1,2,1,1
2,1,1,1,2,2,1
2,1,1,1,3,1,1
2,1,1,1,3,2,1
2,1,1,1,4,1,0
2,1,1,1,4,2,0
2,1,1,2,1,1,1
2,1,1,2,1,2,1
2,1,1,2,2,1,1
2,1,1,2,2,2,1
2,1,1,2,3,1,1
2,1,1,2,3,2,1
2,1,1,2,4,1,0
2,1,1,2,4,2,0
2,1,1,3,1,2,1
2,1,1,3,2,1,1
2,1,1,3,2,2,1
2,1,1,3,4,1,0
2,1,1,3,4,2,0
2,1,2,1,1,1,1
2,1,2,1,1,2,1
2,1,2,1,2,2,1
2,1,2,1,3,1,1
2,1,2,1,3,2,1
2,1,2,1,4,1,0
2,1,2,1,4,2,0
2,1,2,2,1,1,1
2,1,2,2,1,2,1
2,1,2,2,2,1,1
2,1,2,2,2,2,1
2,1,2,2,3,1,1
2,1,2,2,3,2,1
2,1,2,2,4,1,0
2,1,2,2,4,2,0
2,1,2,3,1,1,1
2,1,2,3,1,2,1
2,1,2,3,3,1,1
2,1,2,3,3,2,1
2,1,2,3,4,1,0
2,2,1,1,1,2,1
2,2,1,1,2,1,1
2,2,1,1,2,2,1
2,2,1,1,3,1,1
2,2,1,1,3,2,1
2,2,1,1,4,1,0
2,2,1,1,4,2,0
2,2,1,2,1,1,1
2,2,1,2,1,2,1
2,2,1,2,2,2,1
2,2,1,2,3,1,1
2,2,1,2,3,2,1
2,2,1,2,4,1,0
2,2,1,3,1,1,1
2,2,1,3,1,2,1
2,2,1,3,2,1,1
2,2,1,3,2,2,1
2,2,1,3,3,1,1
2,2,1,3,3,2,1
2,2,1,3,4,1,0
2,2,1,3,4,2,0
2,2,2,1,1,1,1
2,2,2,1,1,2,1
2,2,2,1,2,1,1
2,2,2,1,2,2,1
2,2,2,1,3,1,1
2,2,2,1,3,2,1
2,2,2,1,4,1,0
2,2,2,1,4,2,0
2,2,2,2,1,1,1
2,2,2,2,1,2,1
2,2,2,2,2,1,1
2,2,2,2,2,2,1
2,2,2,2,3,1,1
2,2,2,2,3,2,1
2,2,2,2,4,1,0
2,2,2,2,4,2,0
2,2,2,3,1,1,1
2,2,2,3,1,2,1
2,2,2,3,2,1,1
2,2,2,3,2,2,1
2,2,2,3,3,1,1
2,2,2,3,4,1,0
2,2,2,3,4,2,0
2,3,1,1,1,1,0
2,3,1,1,1,2,0
2,3,1,1,2,1,0
2,3,1,1,2,2,0
2,3,1,1,3,1,1
2,3,1,1,3,2,1
2,3,1,1,4,1,0
2,3,1,1,4,2,0
2,3,1,2,1,1,0
2,3,1,2,1,2,0
2,3,1,2,2,2,0
2,3,1,2,3,1,0
2,3,1,2,3,2,0
2,3,1,2,4,2,0
2,3,1,3,1,1,0
2,3,1,3,1,2,0
2,3,1,3,2,1,0
2,3,1,3,2,2,0
2,3,1,3,3,1,0
2,3,1,3,4,1,0
2,3,2,1,1,1,0
2,3,2,1,1,2,0
2,3,2,1,2,1,0
2,3,2,1,2,2,0
2,3,2,1,3,1,1
2,3,2,1,3,2,1
2,3,2,1,4,1,0
2,3,2,1,4,2,0
2,3,2,2,1,1,0
2,3,2,2,1,2,0
2,3,2,2,2,1,0
2,3,2,2,2,2,0
2,3,2,2,3,2,0
2,3,2,2,4,1,0
2,3,2,2,4,2,0
2,3,2,3,1,1,0
2,3,2,3,1,2,0
2,3,2,3,2,1,0
2,3,2,3,2,2,0
2,3,2,3,3,1,0
2,3,2,3,3,2,0
2,3,2,3,4,1,0
2,3,2,3,4,2,0
3,1,1,1,1,1,1
3,1,1,1,1,2,1
3,1,1,1,2,1,1
3,1,1,1,2,2,1
3,1,1,1,3,1,1
3,1,1,1,3,2,1
3,1,1,1,4,1,0
3,1,1,1,4,2,0
3,1,1,2,1,2,1
3,1,1,2,2,1,1
3,1,1,2,2,2,1
3,1,1,2,3,1,1
3,1,1,2,3,2,1
3,1,1,2,4,1,0
3,1,1,2,4,2,0
3,1,1,3,1,1,1
3,1,1,3,1,2,1
3,1,1,3,2,1,1
3,1,1,3,2,2,1
3,1,1,3,3,1,1
3,1,1,3,3,2,1
3,1,1,3,4,1,0
3,1,2,1,1,1,1
3,1,2,1,1,2,1
3,1,2,1,2,1,1
3,1,2,1,2,2,1
3,1,2,1,3,2,1
3,1,2,1,4,1,0
3,1,2,1,4,2,0
3,1,2,2,1,1,1
3,1,2,2,1,2,1
3,1,2,2,2,1,1
3,1,2,2,3,1,1
3,1,2,2,3,2,1
3,1,2,2,4,2,0
3,1,2,3,1,1,1
3,1,2,3,1,2,1
3,1,2,3,2,1,1
3,1,2,3,2,2,1
3,1,2,3,3,1,1
3,1,2,3,3,2,1
3,1,2,3,4,2,0
3,2,1,1,1,1,1
3,2,1,1,1,2,1
3,2,1,1,2,1,1
3,2,1,1,2,2,1
3,2,1,1,3,1,1
3,2,1,1,3,2,1
3,2,1,1,4,1,0
3,2,1,1,4,2,0
3,2,1,2,1,1,1
3,2,1,2,1,2,1
3,2,1,2,2,1,1
3,2,1,2,3,1,1
3,2,1,2,3,2,1
3,2,1,2,4,1,0
3,2,1,2,4,2,0
3,2,1,3,1,1,1
3,2,1,3,1,2,1
3,2,1,3,2,1,1
3,2,1,3,2,2,1
3,2,1,3,3,1,1
3,2,1,3,3,2,1
3,2,1,3,4,1,0
3,2,2,1,1,1,1
3,2,2,1,1,2,1
3,2,2,1,2,1,1
3,2,2,1,3,1,1
3,2,2,1,4,2,0
3,2,2,2,1,1,1
3,2,2,2,1,2,1
3,2,2,2,2,1,1
3,2,2,2,2,2,1
3,2,2,2,3,1,1
3,2,2,2,3,2,1
3,2,2,2,4,2,0
3,2,2,3,1,1,1
3,2,2,3,1,2,1
3,2,2,3,2,1,1
3,2,2,3,2,2,1
3,2,2,3,3,1,1
3,2,2,3,3,2,1
3,2,2,3,4,1,0
3,2,2,3,4,2,0
3,3,1,1,1,1,0
3,3,1,1,1,2,0
3,3,1,1,2,1,0
3,3,1,1,2,2,0
3,3,1,1,3,1,1
3,3,1,1,3,2,1
3,3,1,1,4,1,0
3,3,1,2,1,1,0
3,3,1,2,1,2,0
3,3,1,2,2,1,0
3,3,1,2,2,2,0
3,3,1,2,3,1,0
3,3,1,2,3,2,0
3,3,1,2,4,1,0
3,3,1,2,4,2,0
3,3,1,3,1,1,0
3,3,1,3,1,2,0
3,3,1,3,2,1,0
3,3,1,3,2,2,0
3,3,1,3,3,1,0
3,3,1,3,3,2,0
3,3,1,3,4,1,0
3,3,1,3,4,2,0
3,3,2,1,1,1,0
3,3,2,1,1,2,0
3,3,2,1,2,1,0
3,3,2,1,2,2,0
3,3,2,1,3,1,1
3,3,2,1,3,2,1
3,3,2,1,4,1,0
3,3,2,1,4,2,0
3,3,2,2,1,1,0
3,3,2,2,1,2,0
3,3,2,2,2,1,0
3,3,2,2,2,2,0
3,3,2,2,3,1,0
3,3,2,2,3,2,0
3,3,2,2,4,1,0
3,3,2,2,4,2,0
3,3,2,3,1,1,0
3,3,2,3,1,2,0
3,3,2,3,2,1,0
3,3,2,3,2,2,0
3,3,2,3,3,1,0
3,3,2,3,3,2,0
3,3,2,3,4,1,0
3,3,2,3,4,2,0
1,1,1,1,2,1,1
1,1,1,3,2,1,1
1,1,1,3,3,2,1
1,1,2,1,2,1,1
1,1,2,1,3,2,1
1,2,1,1,4,2,0
1,2,2,2,1,1,1
1,2,2,2,2,2,1
1,2,2,3,2,2,1
1,2,2,3,4,1,0
1,3,1,2,1,2,0
1,3,1,2,3,1,0
1,3,1,2,4,2,0
1,3,2,1,1,2,0
1,3,2,2,3,2,0
2,1,1,3,1,1,1
2,1,1,3,3,1,1
2,1,1,3,3,2,1
2,1,2,1,2,1,1
2,1,2,3,2,1,1
2,1,2,3,2,2,1
2,1,2,3,4,2,0
2,2,1,1,1,1,1
2,2,1,2,2,1,1
2,2,1,2,4,2,0
2,2,2,3,3,2,1
2,3,1,2,2,1,0
2,3,1,2,4,1,0
2,3,1,3,3,2,0
2,3,1,3,4,2,0
2,3,2,2,3,1,0
3,1,1,2,1,1,1
3,1,1,3,4,2,0
3,1,2,1,3,1,1
3,1,2,2,2,2,1
3,1,2,2,4,1,0
3,1,2,3,4,1,0
3,2,1,2,2,2,1
3,2,1,3,4,2,0
3,2,2,1,2,2,1
3,2,2,1,3,2,1
3,2,2,1,4,1,0
3,2,2,2,4,1,0
3,3,1,1,4,2,0
